Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\BdeHdCfgLib.dll

File Type: DLL

  Section contains the following exports for BDEHDCFGLIB.dll

    00000000 characteristics
    78234AC4 time date stamp
        0.00 version
           1 ordinal base
         114 number of functions
         114 number of names

    ordinal hint RVA      name

          1    0 00001150 ??0CBcdStore@@IEAA@XZ
          2    1 00001190 ??0CBcdStore@@QEAA@$$QEAV0@@Z
          3    2 00001190 ??0CBcdStore@@QEAA@AEBV0@@Z
          4    3 00008AE0 ??0CBcdWmiWrapper@@IEAA@XZ
          5    4 00001050 ??0CBcdWmiWrapper@@QEAA@AEBV0@@Z
          6    5 00001010 ??0CBdeCfgLibraryLoader@@QEAA@AEBV0@@Z
          7    6 0000C670 ??0CBdeCfgLibraryLoader@@QEAA@XZ
          8    7 00001200 ??0CDriveConfiguration@@QEAA@AEBV0@@Z
          9    8 0000DFC0 ??0CDriveConfiguration@@QEAA@XZ
         10    9 00001180 ??1CBcdStore@@UEAA@XZ
         11    A 00008B10 ??1CBcdWmiWrapper@@MEAA@XZ
         12    B 0000C6A0 ??1CBdeCfgLibraryLoader@@QEAA@XZ
         13    C 0000E020 ??1CDriveConfiguration@@QEAA@XZ
         14    D 00001090 ??4CBcdStore@@QEAAAEAV0@$$QEAV0@@Z
         15    E 00001090 ??4CBcdStore@@QEAAAEAV0@AEBV0@@Z
         16    F 00001090 ??4CBcdWmiWrapper@@QEAAAEAV0@AEBV0@@Z
         17   10 00001010 ??4CBdeCfgLibraryLoader@@QEAAAEAV0@AEBV0@@Z
         18   11 00001200 ??4CDriveConfiguration@@QEAAAEAV0@AEBV0@@Z
         19   12 00012010 ??_7CBcdStore@@6B@
         20   13 00012010 ??_7CBcdWmiWrapper@@6B@
         21   14 0000E0B0 ?ActionRequiresCreate@CDriveConfiguration@@QEAA_NXZ
         22   15 0000E0D0 ?ActionRequiresMerge@CDriveConfiguration@@QEAA_NXZ
         23   16 0000E0A0 ?ActionRequiresShrink@CDriveConfiguration@@QEAA_NXZ
         61   17 0000E470 ?CancelConfiguration@CDriveConfiguration@@QEAAJXZ
         62   18 0000E330 ?CancelConfigurationEntry@CDriveConfiguration@@CAXPEAX@Z
         63   19 0000E370 ?CancelConfiguration_Thread@CDriveConfiguration@@AEAAJXZ
         64   1A 0000F830 ?Cleanup@CDriveConfiguration@@AEAAXXZ
         65   1B 0000E300 ?ConfigureDrive@CDriveConfiguration@@QEAAJXZ
         66   1C 00009680 ?CreateClass@CBcdStore@@SAJPEAPEAV1@@Z
         67   1D 00008F40 ?CreateInParams@CBcdWmiWrapper@@IEAAJPEBGPEAPEAUIWbemClassObject@@@Z
         68   1E 0000F3B0 ?DetectTargetDrive@CDriveConfiguration@@AEAAJPEAUIVdsVolume@@@Z
         69   1F 0000E520 ?DriveConfigurationEntry@CDriveConfiguration@@CAXPEAX@Z
         70   20 00009010 ?ExecuteMethod@CBcdWmiWrapper@@IEAAJPEBGPEAUIWbemClassObject@@PEAPEAU2@@Z
         71   21 000091A0 ?ExportSystemStore@CBcdStore@@QEAAJPEBG@Z
         72   22 0000E0E0 ?GetActionType@CDriveConfiguration@@QEAA?AW4BDECFG_ACTION_TYPE@@XZ
         73   23 000011F0 ?GetConfigurationResult@CDriveConfiguration@@QEAAJXZ
         74   24 000011E0 ?GetInitializationResult@CDriveConfiguration@@QEAAJXZ
