Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\FWPUCLNT.DLL

File Type: DLL

  Section contains the following exports for fwpuclnt.dll

    00000000 characteristics
    6BE2599D time date stamp
        0.00 version
           1 ordinal base
         276 number of functions
         276 number of names

    ordinal hint RVA      name

          1    0 0000A120 FwpiExpandCriteria0
          2    1 0000A1D0 FwpiFreeCriteria0
          3    2 0002E4A0 FwpiVpnTriggerAddAppSids
          4    3 0002E510 FwpiVpnTriggerAddFilePaths
          5    4 0002E580 FwpiVpnTriggerAddSecurityDescriptor
          6    5 0002E650 FwpiVpnTriggerConfigureParameters
          7    6 0002E6C0 FwpiVpnTriggerEventSubscribe0
          8    7 0002E820 FwpiVpnTriggerEventUnsubscribe0
          9    8 0002E8D0 FwpiVpnTriggerInitializeNrptTriggering
         10    9 0002E940 FwpiVpnTriggerRemoveAppSids
         11    A 0002E9B0 FwpiVpnTriggerRemoveFilePaths
         12    B 0002EA20 FwpiVpnTriggerRemoveSecurityDescriptor
         13    C 0002EA90 FwpiVpnTriggerResetNrptTriggering
         14    D 0002EB00 FwpiVpnTriggerSetStateDisconnected
         15    E 0002EB70 FwpiVpnTriggerUninitializeNrptTriggering
         16    F 000034B0 FwpmBitmapIndexFree0
         17   10 00003440 FwpmBitmapIndexGet0
         18   11 00005340 FwpmCalloutAdd0
         19   12 0000A1F0 FwpmCalloutCreateEnumHandle0
         20   13 0000A260 FwpmCalloutDeleteById0
         21   14 0000A300 FwpmCalloutDeleteByKey0
         22   15 0000A3A0 FwpmCalloutDestroyEnumHandle0
         23   16 0000A420 FwpmCalloutEnum0
         24   17 0000A4C0 FwpmCalloutGetById0
         25   18 0000A550 FwpmCalloutGetByKey0
         26   19 0000A5E0 FwpmCalloutGetSecurityInfoByKey0
         27   1A 0000A6F0 FwpmCalloutSetSecurityInfoByKey0
         28   1B 0000A810 FwpmCalloutSubscribeChanges0
         29   1C 0000A970 FwpmCalloutSubscriptionsGet0
         30   1D 0000AA00 FwpmCalloutUnsubscribeChanges0
         31   1E 0000AAB0 FwpmConnectionCreateEnumHandle0
         32   1F 0000AB20 FwpmConnectionDestroyEnumHandle0
         33   20 0000ABA0 FwpmConnectionEnum0
         34   21 0000AC40 FwpmConnectionGetById0
         35   22 0000ACD0 FwpmConnectionGetSecurityInfo0
         36   23 0000ADE0 FwpmConnectionSetSecurityInfo0
         37   24 0000AEE0 FwpmConnectionSubscribe0
         38   25 0000B040 FwpmConnectionUnsubscribe0
         39   26 00014070 FwpmDiagnoseNetFailure0
         40   27 000046C0 FwpmEngineClose0
         41   28 0000B0F0 FwpmEngineGetOption0
         42   29 0000B180 FwpmEngineGetSecurityInfo0
         43   2A 00005510 FwpmEngineOpen0
         44   2B 00003C70 FwpmEngineSetOption0
         45   2C 0000B290 FwpmEngineSetSecurityInfo0
         46   2D 000039E0 FwpmEventProviderCreate0
         47   2E 00014590 FwpmEventProviderDestroy0
         48   2F 000145B0 FwpmEventProviderFireNetEvent0
         49   30 00001C70 FwpmEventProviderIsNetEventTypeEnabled0
         50   31 00003610 FwpmFilterAdd0
         51   32 00004A30 FwpmFilterCreateEnumHandle0
         52   33 00003310 FwpmFilterDeleteById0
         53   34 00005450 FwpmFilterDeleteByKey0
         54   35 00004B00 FwpmFilterDestroyEnumHandle0
         55   36 00004A80 FwpmFilterEnum0
