Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\FXSAPI.dll

File Type: DLL

  Section contains the following exports for FXSAPI.dll

    00000000 characteristics
    5117A9B0 time date stamp
        0.00 version
           1 ordinal base
         175 number of functions
         175 number of names

    ordinal hint RVA      name

          1    0 0001F750 FXSAPIFree
          2    1 0001F6B0 FXSAPIInitialize
          3    2 000106F0 FaxAbort
          4    3 00005010 FaxAccessCheck
          5    4 00005430 FaxAccessCheckEx
          6    5 000054B0 FaxAccessCheckEx2
          7    6 00007A30 FaxAddOutboundGroupA
          8    7 00007C40 FaxAddOutboundGroupW
          9    8 00008EA0 FaxAddOutboundRuleA
         10    9 00009000 FaxAddOutboundRuleW
         11    A 0000B180 FaxAnswerCall
         12    B 00018590 FaxCheckValidFaxFolder
         13    C 0000CA80 FaxClose
         14    D 0001E770 FaxCompleteJobParamsA
         15    E 0001E980 FaxCompleteJobParamsW
         16    F 0000C280 FaxConnectFaxServerA
         17   10 0000BE00 FaxConnectFaxServerW
         18   11 00021910 FaxCreateAccount
         19   12 00021C50 FaxDeleteAccount
         20   13 00019E60 FaxEnableRoutingMethodA
         21   14 00019CD0 FaxEnableRoutingMethodW
         22   15 00016A50 FaxEndMessagesEnum
         23   16 00021D80 FaxEnumAccounts
         24   17 00004990 FaxEnumGlobalRoutingInfoA
         25   18 00004570 FaxEnumGlobalRoutingInfoW
         26   19 00010E50 FaxEnumJobsA
         27   1A 00015DB0 FaxEnumJobsEx2
         28   1B 00015B20 FaxEnumJobsExA
         29   1C 00015D10 FaxEnumJobsExW
         30   1D 00010870 FaxEnumJobsW
         31   1E 00016BA0 FaxEnumMessagesA
         32   1F 00016EF0 FaxEnumMessagesEx
         33   20 00016DC0 FaxEnumMessagesW
         34   21 000083D0 FaxEnumOutboundGroupsA
         35   22 00008520 FaxEnumOutboundGroupsW
         36   23 000093F0 FaxEnumOutboundRulesA
         37   24 00009580 FaxEnumOutboundRulesW
         38   25 00018AB0 FaxEnumPortsA
         39   26 0001B230 FaxEnumPortsExA
         40   27 0001B430 FaxEnumPortsExW
         41   28 00018730 FaxEnumPortsW
         42   29 0000A610 FaxEnumRoutingExtensionsA
         43   2A 0000A850 FaxEnumRoutingExtensionsW
         44   2B 00019B80 FaxEnumRoutingMethodsA
         45   2C 00019750 FaxEnumRoutingMethodsW
         46   2D 0001A320 FaxEnumerateProvidersA
         47   2E 0001A4B0 FaxEnumerateProvidersW
         48   2F 000010C0 FaxFreeBuffer
         49   30 00021850 FaxFreeSenderInformation
         50   31 000223E0 FaxGetAccountInfo
         51   32 00007280 FaxGetActivityLoggingConfigurationA
         52   33 00007390 FaxGetActivityLoggingConfigurationW
         53   34 000069E0 FaxGetArchiveConfigurationA
         54   35 00006B00 FaxGetArchiveConfigurationW
         55   36 00005850 FaxGetConfigOption
         56   37 0000A2E0 FaxGetConfigWizardUsed
         57   38 00002FC0 FaxGetConfigurationA
         58   39 00002D50 FaxGetConfigurationW
         59   3A 00004420 FaxGetCountryListA
         60   3B 00004190 FaxGetCountryListW
         61   3C 0000C8E0 FaxGetDeviceStatusA
         62   3D 0000C310 FaxGetDeviceStatusW
         63   3E 0001B8D0 FaxGetExtensionDataA
         64   3F 0001B9A0 FaxGetExtensionDataW
         65   40 0000B570 FaxGetGeneralConfiguration
         66   41 00011820 FaxGetJobA
