Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\IPHLPAPI.DLL

File Type: DLL

  Section contains the following exports for IPHLPAPI.DLL

    00000000 characteristics
    55458551 time date stamp
        0.00 version
           1 ordinal base
         293 number of functions
         293 number of names

    ordinal hint RVA      name

          1    0 0001D170 AddIPAddress
          2    1 0001B000 AllocateAndGetInterfaceInfoFromStack
          3    2 0001C660 AllocateAndGetIpAddrTableFromStack
          4    3 00001340 CancelIPChangeNotify
          5    4 000245D0 CancelIfTimestampConfigChange
          6    5 000092E0 CancelMibChangeNotify2
          7    6 00024630 CaptureInterfaceHardwareCrossTimestamp
          8    7 00024EA0 CloseCompartment
          9    8 0001C690 CloseGetIPPhysicalInterfaceForDestination
         10    9 00025790 ConvertCompartmentGuidToId
         11    A 00025830 ConvertCompartmentIdToGuid
         12    B 00008A20 ConvertGuidToStringA
         13    C 00008B00 ConvertGuidToStringW
         14    D 00025930 ConvertInterfaceAliasToLuid
         15    E 000024C0 ConvertInterfaceGuidToLuid
         16    F 00003EF0 ConvertInterfaceIndexToLuid
         17   10 0000A4A0 ConvertInterfaceLuidToAlias
         18   11 000091F0 ConvertInterfaceLuidToGuid
         19   12 00002910 ConvertInterfaceLuidToIndex
         20   13 00025AD0 ConvertInterfaceLuidToNameA
         21   14 00004990 ConvertInterfaceLuidToNameW
         22   15 00025B80 ConvertInterfaceNameToLuidA
         23   16 00005CD0 ConvertInterfaceNameToLuidW
         24   17 00025C70 ConvertInterfacePhysicalAddressToLuid
         25   18 00024C60 ConvertIpv4MaskToLength
         26   19 000095A0 ConvertLengthToIpv4Mask
         27   1A 0001B210 ConvertRemoteInterfaceAliasToLuid
         28   1B 0001B3C0 ConvertRemoteInterfaceGuidToLuid
         29   1C 0001B520 ConvertRemoteInterfaceIndexToLuid
         30   1D 0001B5A0 ConvertRemoteInterfaceLuidToAlias
         31   1E 0001B6E0 ConvertRemoteInterfaceLuidToGuid
         32   1F 0001B770 ConvertRemoteInterfaceLuidToIndex
         33   20 0001B7F0 ConvertStringToGuidA
         34   21 00009660 ConvertStringToGuidW
         35   22 00025E00 ConvertStringToInterfacePhysicalAddress
         36   23 00025F70 CreateAnycastIpAddressEntry
         37   24 00024EC0 CreateCompartment
         38   25 0001D2D0 CreateIpForwardEntry
         39   26 00027100 CreateIpForwardEntry2
         40   27 0001D2E0 CreateIpNetEntry
         41   28 00027900 CreateIpNetEntry2
         42   29 000200F0 CreatePersistentTcpPortReservation
         43   2A 00020130 CreatePersistentUdpPortReservation
         44   2B 0001D5D0 CreateProxyArpEntry
         45   2C 00028080 CreateSortedAddressPairs
         46   2D 00025F90 CreateUnicastIpAddressEntry
         47   2E 00025FB0 DeleteAnycastIpAddressEntry
         48   2F 00025050 DeleteCompartment
         49   30 0001D5F0 DeleteIPAddress
         50   31 0001D6F0 DeleteIpForwardEntry
         51   32 00027130 DeleteIpForwardEntry2
         52   33 0001D7C0 DeleteIpNetEntry
         53   34 00027930 DeleteIpNetEntry2
         54   35 00020170 DeletePersistentTcpPortReservation
         55   36 000201B0 DeletePersistentUdpPortReservation
         56   37 0001D870 DeleteProxyArpEntry
         57   38 00025FD0 DeleteUnicastIpAddressEntry
         58   39 000095F0 DisableMediaSense
         59   3A 0001D890 EnableRouter
         60   3B 0001D900 FlushIpNetTable
         61   3C 00027960 FlushIpNetTable2
