Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\Tabbtn.dll

File Type: DLL

  Section contains the following exports for TabBtn.dll

    00000000 characteristics
    27A831F5 time date stamp
        0.00 version
           1 ordinal base
         225 number of functions
         225 number of names

    ordinal hint RVA      name

          1    0 00003950 ??0?$CSimpleArray@PEAUACTION@@V?$CSimpleArrayEqualHelper@PEAUACTION@@@ATL@@@ATL@@QEAA@AEBV01@@Z
          2    1 000039D0 ??0?$CSimpleArray@PEAUACTION@@V?$CSimpleArrayEqualHelper@PEAUACTION@@@ATL@@@ATL@@QEAA@XZ
          3    2 00003950 ??0?$CSimpleArray@PEAVCButtonAction@@V?$CSimpleArrayEqualHelper@PEAVCButtonAction@@@ATL@@@ATL@@QEAA@AEBV01@@Z
          4    3 000039D0 ??0?$CSimpleArray@PEAVCButtonAction@@V?$CSimpleArrayEqualHelper@PEAVCButtonAction@@@ATL@@@ATL@@QEAA@XZ
          5    4 00003950 ??0?$CSimpleArray@PEAVCButtonSetting@@V?$CSimpleArrayEqualHelper@PEAVCButtonSetting@@@ATL@@@ATL@@QEAA@AEBV01@@Z
          6    5 000039D0 ??0?$CSimpleArray@PEAVCButtonSetting@@V?$CSimpleArrayEqualHelper@PEAVCButtonSetting@@@ATL@@@ATL@@QEAA@XZ
          7    6 00003950 ??0?$CSimpleArray@PEAVCOrientation@@V?$CSimpleArrayEqualHelper@PEAVCOrientation@@@ATL@@@ATL@@QEAA@AEBV01@@Z
          8    7 000039D0 ??0?$CSimpleArray@PEAVCOrientation@@V?$CSimpleArrayEqualHelper@PEAVCOrientation@@@ATL@@@ATL@@QEAA@XZ
          9    8 000039F0 ??0?$CSimpleMap@KPEAVCButtonImages@@V?$CSimpleMapEqualHelper@KPEAVCButtonImages@@@ATL@@@ATL@@QEAA@XZ
         10    9 00003A10 ??0CActions@@QEAA@AEBV0@@Z
         11    A 000039D0 ??0CActions@@QEAA@XZ
         12    B 000088A0 ??0CButtonAction@@QEAA@W4BUTTONACTION_TYPE@@@Z
         13    C 00003A30 ??0CButtonConfig@@QEAA@AEBV0@@Z
         14    D 00008900 ??0CButtonConfig@@QEAA@XZ
         15    E 00003AA0 ??0CButtonMonitor@@QEAA@AEBV0@@Z
         16    F 00001860 ??0CButtonMonitor@@QEAA@XZ
         17   10 00003BE0 ??0CButtonSetting@@QEAA@AEBV0@@Z
         18   11 00008970 ??0CButtonSetting@@QEAA@XZ
         19   12 00003C60 ??0CButtonSettings@@QEAA@AEBV0@@Z
         20   13 000089F0 ??0CButtonSettings@@QEAA@XZ
         21   14 0000CF70 ??0CFunctionNotification@@QEAA@XZ
         22   15 00007E60 ??0CHidButton@@QEAA@PEAUHWND__@@II@Z
         23   16 00008A40 ??0COrientation@@QEAA@XZ
         24   17 00003CD0 ??1?$CSimpleArray@PEAUACTION@@V?$CSimpleArrayEqualHelper@PEAUACTION@@@ATL@@@ATL@@QEAA@XZ
         25   18 00003CD0 ??1?$CSimpleArray@PEAVCButtonAction@@V?$CSimpleArrayEqualHelper@PEAVCButtonAction@@@ATL@@@ATL@@QEAA@XZ
         26   19 00003CD0 ??1?$CSimpleArray@PEAVCButtonSetting@@V?$CSimpleArrayEqualHelper@PEAVCButtonSetting@@@ATL@@@ATL@@QEAA@XZ
