Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\archiveint.dll

File Type: DLL

  Section contains the following exports for archiveint.dll

    00000000 characteristics
    2B167212 time date stamp
        0.00 version
           1 ordinal base
         409 number of functions
         409 number of names

    ordinal hint RVA      name

          1    0 000110A0 archive_bzlib_version
          2    1 0003B8D0 archive_clear_error
          3    2 0003B850 archive_compression
          4    3 0003B870 archive_compression_name
          5    4 0003B940 archive_copy_error
          6    5 00005D00 archive_entry_acl
          7    6 00005D30 archive_entry_acl_add_entry
          8    7 00005DA0 archive_entry_acl_add_entry_w
          9    8 00005D10 archive_entry_acl_clear
         10    9 00005E00 archive_entry_acl_count
         11    A 000060B0 archive_entry_acl_from_text
         12    B 00006090 archive_entry_acl_from_text_w
         13    C 00005E60 archive_entry_acl_next
         14    D 00005E40 archive_entry_acl_reset
         15    E 00006160 archive_entry_acl_text
         16    F 000060D0 archive_entry_acl_text_w
         17   10 00006070 archive_entry_acl_to_text
         18   11 00006050 archive_entry_acl_to_text_w
         19   12 00005DF0 archive_entry_acl_types
         20   13 00004610 archive_entry_atime
         21   14 00004630 archive_entry_atime_is_set
         22   15 00004620 archive_entry_atime_nsec
         23   16 00004640 archive_entry_birthtime
         24   17 00004660 archive_entry_birthtime_is_set
         25   18 00004650 archive_entry_birthtime_nsec
         26   19 00004310 archive_entry_clear
         27   1A 000043E0 archive_entry_clone
         28   1B 00059B80 archive_entry_copy_bhfi
         29   1C 00005040 archive_entry_copy_fflags_text
         30   1D 00005110 archive_entry_copy_fflags_text_w
         31   1E 00005200 archive_entry_copy_gname
         32   1F 00005240 archive_entry_copy_gname_w
         33   20 000052D0 archive_entry_copy_hardlink
         34   21 00005370 archive_entry_copy_hardlink_w
         35   22 00005630 archive_entry_copy_link
         36   23 00005690 archive_entry_copy_link_w
         37   24 00005C70 archive_entry_copy_mac_metadata
         38   25 000057D0 archive_entry_copy_pathname
         39   26 00005810 archive_entry_copy_pathname_w
         40   27 00005950 archive_entry_copy_sourcepath
         41   28 00005970 archive_entry_copy_sourcepath_w
         42   29 000061F0 archive_entry_copy_stat
         43   2A 00005990 archive_entry_copy_symlink
         44   2B 00005A30 archive_entry_copy_symlink_w
         45   2C 00005B40 archive_entry_copy_uname
         46   2D 00005B80 archive_entry_copy_uname_w
         47   2E 00004670 archive_entry_ctime
         48   2F 00004680 archive_entry_ctime_is_set
         49   30 00004690 archive_entry_ctime_nsec
         50   31 000046A0 archive_entry_dev
         51   32 000046E0 archive_entry_dev_is_set
         52   33 00004700 archive_entry_devmajor
         53   34 00004720 archive_entry_devminor
         54   35 00004770 archive_entry_fflags
         55   36 00004790 archive_entry_fflags_text
         56   37 00004750 archive_entry_filetype
         57   38 000045A0 archive_entry_free
         58   39 000047F0 archive_entry_gid
         59   3A 00004800 archive_entry_gname
         60   3B 00004850 archive_entry_gname_utf8
         61   3C 000048B0 archive_entry_gname_w
         62   3D 00004910 archive_entry_hardlink
         63   3E 00004970 archive_entry_hardlink_utf8
         64   3F 000049D0 archive_entry_hardlink_w
         65   40 00004A30 archive_entry_ino
         66   41 00004A30 archive_entry_ino64
         67   42 00004A40 archive_entry_ino_is_set
         68   43 00004F60 archive_entry_is_data_encrypted
         69   44 00004FA0 archive_entry_is_encrypted
         70   45 00004F80 archive_entry_is_metadata_encrypted
         71   46 00006430 archive_entry_linkify
