Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\cfgmgr32.dll

File Type: DLL

  Section contains the following exports for CFGMGR32.dll

    00000000 characteristics
    CA7E64CA time date stamp
        0.00 version
           1 ordinal base
         277 number of functions
         277 number of names

    ordinal hint RVA      name

          1    0 00016BF0 CMP_GetBlockedDriverInfo
          2    1 00016C60 CMP_GetServerSideDeviceInstallFlags
          3    2 00016CD0 CMP_Init_Detection
          4    3 00017280 CMP_RegisterServiceNotification
          5    4 00005730 CMP_Register_Notification
          6    5 00016CF0 CMP_Report_LogOn
          7    6 0000FD20 CMP_WaitNoPendingInstallEvents
          8    7 00016D10 CMP_WaitServicesAvailable
          9    8 000172A0 CM_Add_Driver_PackageW
         10    9 000173E0 CM_Add_Driver_Package_ExW
         11    A 00017810 CM_Add_Empty_Log_Conf
         12    B 00017960 CM_Add_Empty_Log_Conf_Ex
         13    C 00018010 CM_Add_IDA
         14    D 00018020 CM_Add_IDW
         15    E 00018120 CM_Add_ID_ExA
         16    F 000181B0 CM_Add_ID_ExW
         17   10 00019520 CM_Add_Range
         18   11 0001A9F0 CM_Add_Res_Des
         19   12 0001AC90 CM_Add_Res_Des_Ex
         20   13 00017290 CM_Apply_PowerScheme
         21   14 00016D30 CM_Connect_MachineA
         22   15 00016DA0 CM_Connect_MachineW
         23   16 000181E0 CM_Create_DevNodeA
         24   17 00018200 CM_Create_DevNodeW
         25   18 000183E0 CM_Create_DevNode_ExA
         26   19 00018480 CM_Create_DevNode_ExW
         27   1A 00019630 CM_Create_Range_List
         28   1B 0001BCC0 CM_Delete_Class_Key
         29   1C 0001BD30 CM_Delete_Class_Key_Ex
         30   1D 0001BD60 CM_Delete_DevNode_Key
         31   1E 0001BE60 CM_Delete_DevNode_Key_Ex
         32   1F 0001BE90 CM_Delete_Device_Interface_KeyA
         33   20 0001BEA0 CM_Delete_Device_Interface_KeyW
         34   21 0001BF00 CM_Delete_Device_Interface_Key_ExA
         35   22 0001BF80 CM_Delete_Device_Interface_Key_ExW
         36   23 00017500 CM_Delete_Driver_PackageW
         37   24 00017600 CM_Delete_Driver_Package_ExW
         38   25 00017290 CM_Delete_PowerScheme
         39   26 00019720 CM_Delete_Range
         40   27 0001ACD0 CM_Detect_Resource_Conflict
         41   28 0001AD00 CM_Detect_Resource_Conflict_Ex
         42   29 000184B0 CM_Disable_DevNode
         43   2A 000185E0 CM_Disable_DevNode_Ex
         44   2B 00016E20 CM_Disconnect_Machine
         45   2C 00019900 CM_Dup_Range_List
         46   2D 00017290 CM_Duplicate_PowerScheme
         47   2E 00018610 CM_Enable_DevNode
         48   2F 00018730 CM_Enable_DevNode_Ex
         49   30 0001BFB0 CM_Enumerate_Classes
         50   31 0001C020 CM_Enumerate_Classes_Ex
         51   32 0001E4E0 CM_Enumerate_EnumeratorsA
         52   33 0001E500 CM_Enumerate_EnumeratorsW
         53   34 0001E570 CM_Enumerate_Enumerators_ExA
         54   35 0001E620 CM_Enumerate_Enumerators_ExW
         55   36 00019A40 CM_Find_Range
         56   37 00019C50 CM_First_Range
         57   38 00017990 CM_Free_Log_Conf
         58   39 00017AE0 CM_Free_Log_Conf_Ex
         59   3A 00017B10 CM_Free_Log_Conf_Handle
         60   3B 00019D70 CM_Free_Range_List
         61   3C 0001AEF0 CM_Free_Res_Des
         62   3D 0001B0B0 CM_Free_Res_Des_Ex
