Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\combase.dll

File Type: DLL

  Section contains the following exports for combase.dll

    00000000 characteristics
    1C3DC270 time date stamp
        0.00 version
           1 ordinal base
         532 number of functions
         451 number of names

    ordinal hint RVA      name

         89    0 001C9830 CLIPFORMAT_UserFree
         91    1 000D8B90 CLIPFORMAT_UserFree64
         94    2 001C9CB0 CLIPFORMAT_UserMarshal
        105    3 000D61F0 CLIPFORMAT_UserMarshal64
        106    4 001C9E00 CLIPFORMAT_UserSize
        107    5 000D69C0 CLIPFORMAT_UserSize64
        108    6 001C9EC0 CLIPFORMAT_UserUnmarshal
        109    7 000B0370 CLIPFORMAT_UserUnmarshal64
        113    8 00092BB0 CLSIDFromOle1Class
        114    9 00092A70 CLSIDFromProgID
        115    A 00091FD0 CLSIDFromProgIDEx
        116    B 0006F880 CLSIDFromString
        117    C 001E9490 CStdAsyncStubBuffer2_Connect
        118    D 000BB0E0 CStdAsyncStubBuffer2_Disconnect
        119    E 001E94E0 CStdAsyncStubBuffer2_Release
        131    F 000B3C20 CStdAsyncStubBuffer_AddRef
        132   10 001E9560 CStdAsyncStubBuffer_Connect
        144   11 000BB390 CStdAsyncStubBuffer_Disconnect
        172   12 001E95B0 CStdAsyncStubBuffer_Invoke
        173   13 001E96B0 CStdAsyncStubBuffer_QueryInterface
        174   14 001E97D0 CStdAsyncStubBuffer_Release
        175   15 0000C550 CStdStubBuffer2_Connect
        176   16 001E9930 CStdStubBuffer2_CountRefs
        177   17 000BB0E0 CStdStubBuffer2_Disconnect
        178   18 000B22F0 CStdStubBuffer2_QueryInterface
        179   19 000B3C20 CStdStubBuffer_AddRef
        180   1A 0000C590 CStdStubBuffer_Connect
        181   1B 001E9A10 CStdStubBuffer_CountRefs
        182   1C 001E9A20 CStdStubBuffer_DebugServerQueryInterface
        183   1D 00016C50 CStdStubBuffer_DebugServerRelease
        184   1E 000BB390 CStdStubBuffer_Disconnect
        185   1F 000ABDC0 CStdStubBuffer_Invoke
        186   20 001E9A40 CStdStubBuffer_IsIIDSupported
        187   21 000B2430 CStdStubBuffer_QueryInterface
        188   22 000CD730 CleanupComl2StateInAllTls
        189   23 000C2D70 CleanupOleStateInAllTls
        190   24 000CD790 CleanupTlsComl2State
        191   25 000C2DE0 CleanupTlsOleState
        192   26 000DD150 ClearCleanupFlag
        193   27 000B11A0 CoAddRefServerProcess
        194   28 000D7D60 CoAllowUnmarshalerCLSID
        195   29 0018CFB0 CoCancelCall
        196   2A 000B68B0 CoCopyProxy
        197   2B 000BA4A0 CoCreateErrorInfo
        198   2C 00052D30 CoCreateFreeThreadedMarshaler
        199   2D 0007DA50 CoCreateGuid
        200   2E 000329F0 CoCreateInstance
        201   2F 000BB590 CoCreateInstanceEx
        202   30 000D5440 CoCreateInstanceFromApp
        203   31 00191060 CoCreateObjectInContext
        204   32 00191790 CoDeactivateObject
        205   33 00191860 CoDecodeProxy
        206   34 00018E60 CoDecrementMTAUsage
        207   35 000CAA30 CoDisableCallCancellation
        208   36 00092080 CoDisconnectContext
        209   37 00097A40 CoDisconnectObject
        210   38 000CBC90 CoEnableCallCancellation
        211   39 00014720 CoFileTimeNow
        212   3A 00093D40 CoFreeUnusedLibraries
        213   3B 00094810 CoFreeUnusedLibrariesEx
        214   3C 00191890 CoGetActivationState
        215   3D 001950F0 CoGetApartmentID
