Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\crypt32.dll

File Type: DLL

  Section contains the following exports for CRYPT32.dll

    00000000 characteristics
    B2FBBE58 time date stamp
        0.00 version
        1001 ordinal base
        1000 number of functions
         295 number of names

    ordinal hint RVA      name

       1020    0 0007BE10 CertAddCRLContextToStore
       1021    1 0007BE90 CertAddCRLLinkToStore
       1022    2 0007BE10 CertAddCTLContextToStore
       1023    3 0007BE90 CertAddCTLLinkToStore
       1024    4 0000BFF0 CertAddCertificateContextToStore
       1025    5 0007BE90 CertAddCertificateLinkToStore
       1026    6 00042340 CertAddEncodedCRLToStore
       1027    7 0000B640 CertAddEncodedCTLToStore
       1028    8 00046C20 CertAddEncodedCertificateToStore
       1029    9 0007CE50 CertAddEncodedCertificateToSystemStoreA
       1030    A 0007CED0 CertAddEncodedCertificateToSystemStoreW
       1031    B 0007D4D0 CertAddEnhancedKeyUsageIdentifier
       1032    C 0007EB50 CertAddRefServerOcspResponse
       1033    D 0007EB60 CertAddRefServerOcspResponseContext
       1034    E 0003E5A0 CertAddSerializedElementToStore
       1035    F 0002AE30 CertAddStoreToCollection
       1036   10 0007EFF0 CertAlgIdToOID
       1037   11 0007EB70 CertCloseServerOcspResponse
       1038   12 0001C250 CertCloseStore
       1039   13 00047830 CertCompareCertificate
       1040   14 0002F890 CertCompareCertificateName
       1041   15 0007F030 CertCompareIntegerBlob
       1042   16 00022520 CertComparePublicKeyInfo
       1043   17 0000DF30 CertControlStore
       1044   18 00042300 CertCreateCRLContext
       1045   19 0000B600 CertCreateCTLContext
       1046   1A 0007BEF0 CertCreateCTLEntryFromCertificateContextProperties
       1047   1B 00009500 CertCreateCertificateChainEngine
       1048   1C 00047540 CertCreateCertificateContext
       1049   1D 000388D0 CertCreateContext
       1050   1E 0007F6F0 CertCreateSelfSignCertificate
       1051   1F 0007C400 CertDeleteCRLFromStore
       1052   20 0007C400 CertDeleteCTLFromStore
       1053   21 0007C400 CertDeleteCertificateFromStore
       1054   22 0000E470 CertDuplicateCRLContext
       1055   23 0000E470 CertDuplicateCTLContext
       1056   24 0004AB80 CertDuplicateCertificateChain
       1057   25 000353B0 CertDuplicateCertificateContext
       1058   26 0004AA10 CertDuplicateStore
       1059   27 0007C420 CertEnumCRLContextProperties
       1060   28 00008B60 CertEnumCRLsInStore
       1061   29 0007C420 CertEnumCTLContextProperties
       1062   2A 00012AB0 CertEnumCTLsInStore
       1063   2B 0007C420 CertEnumCertificateContextProperties
       1064   2C 00012C80 CertEnumCertificatesInStore
       1065   2D 000841D0 CertEnumPhysicalStore
       1066   2E 0007C440 CertEnumSubjectInSortedCTL
       1067   2F 000841F0 CertEnumSystemStore
       1068   30 00084570 CertEnumSystemStoreLocation
       1069   31 00038890 CertFindAttribute
       1070   32 00012B70 CertFindCRLInStore
       1071   33 0007C5A0 CertFindCTLInStore
       1072   34 0004AFA0 CertFindCertificateInCRL
       1073   35 00012BF0 CertFindCertificateInStore
       1074   36 00085280 CertFindChainInStore
       1075   37 00030070 CertFindExtension
       1076   38 0007F050 CertFindRDNAttr
       1077   39 00039150 CertFindSubjectInCTL
       1078   3A 00037D00 CertFindSubjectInSortedCTL
       1079   3B 0004AEB0 CertFreeCRLContext
       1080   3C 0004AEB0 CertFreeCTLContext
       1081   3D 0000E6F0 CertFreeCertificateChain
