Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\dbghelp.dll

File Type: DLL

  Section contains the following exports for dbghelp.dll

    00000000 characteristics
     5F0E9A4 time date stamp
        0.00 version
        1101 ordinal base
         254 number of functions
         240 number of names

    ordinal hint RVA      name

       1123    0 001267C0 DbgHelpCreateUserDump
       1124    1 001268A0 DbgHelpCreateUserDumpW
       1125    2 001201A0 EnumDirTree
       1126    3 001202C0 EnumDirTreeW
       1127    4 0011A0A0 EnumerateLoadedModules
       1128    5 0011A0A0 EnumerateLoadedModules64
       1129    6 0011A120 EnumerateLoadedModulesEx
       1130    7 0011A1A0 EnumerateLoadedModulesExW
       1131    8 0011A220 EnumerateLoadedModulesW64
       1132    9 0000BAA0 ExtensionApiVersion
       1133    A 00120310 FindDebugInfoFile
       1134    B 00120330 FindDebugInfoFileEx
       1135    C 00120400 FindDebugInfoFileExW
       1136    D 00120450 FindExecutableImage
       1137    E 00120470 FindExecutableImageEx
       1138    F 00120570 FindExecutableImageExW
       1139   10 001205C0 FindFileInPath
       1140   11 00120610 FindFileInSearchPath
       1141   12 0011A2A0 GetSymLoadError
       1142   13 00111650 GetTimestampForLoadedLibrary
       1143   14 00111100 ImageDirectoryEntryToData
       1144   15 00111120 ImageDirectoryEntryToDataEx
       1145   16 00111240 ImageNtHeader
       1146   17 00111270 ImageRvaToSection
       1147   18 001112D0 ImageRvaToVa
       1148   19 00120660 ImagehlpApiVersion
       1149   1A 0000B9B0 ImagehlpApiVersionEx
       1150   1B 00120670 MakeSureDirectoryPathExists
       1151   1C          MiniDumpReadDumpStream (forwarded to dbgcore.MiniDumpReadDumpStream)
       1152   1D          MiniDumpWriteDump (forwarded to dbgcore.MiniDumpWriteDump)
       1153   1E 00138BB0 RangeMapAddPeImageSections
       1154   1F 00138C60 RangeMapCreate
       1155   20 00138CC0 RangeMapFree
       1156   21 00138CE0 RangeMapRead
       1157   22 00138D40 RangeMapRemove
       1158   23 00138D90 RangeMapWrite
       1159   24 0000BAB0 RemoveInvalidModuleList
       1160   25 0000B560 ReportSymbolLoadSummary
       1161   26 001207F0 SearchTreeForFile
       1162   27 00120820 SearchTreeForFileW
       1163   28 0000BAB0 SetCheckUserInterruptShared
       1164   29 0011A2B0 SetSymLoadError
       1165   2A 0012B8D0 StackWalk
       1166   2B 0012B8D0 StackWalk64
       1167   2C 00007D80 StackWalkEx
       1168   2D 0011A2C0 SymAddSourceStream
       1169   2E 0011A2D0 SymAddSourceStreamA
       1170   2F 0011A340 SymAddSourceStreamW
       1171   30 0011A4B0 SymAddSymbol
       1172   31 0011A530 SymAddSymbolW
       1173   32 0000BA40 SymAddrIncludeInlineTrace
       1174   33 0000B700 SymCleanup
       1175   34 0011A620 SymCompareInlineTrace
       1176   35 0011AB70 SymDeleteSymbol
       1177   36 0011ABE0 SymDeleteSymbolW
       1178   37 0011ACB0 SymEnumLines
       1179   38 0011AD90 SymEnumLinesW
       1180   39 0011AE40 SymEnumProcesses
       1181   3A 0011AED0 SymEnumSourceFileTokens
       1182   3B 0011AF70 SymEnumSourceFiles
       1183   3C 0011AFA0 SymEnumSourceFilesW
       1184   3D 0011AFD0 SymEnumSourceLines
       1185   3E 0011B020 SymEnumSourceLinesW
       1186   3F 0011B070 SymEnumSym
       1187   40 0011B0A0 SymEnumSymbols
       1188   41 0011B0D0 SymEnumSymbolsEx
