Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\dnsapi.dll

File Type: DLL

  Section contains the following exports for DNSAPI.dll

    00000000 characteristics
    33466D5F time date stamp
        0.00 version
           1 ordinal base
         277 number of functions
         277 number of names

    ordinal hint RVA      name

          1    0 000017D0 AdaptiveTimeout_ClearInterfaceSpecificConfiguration
          2    1 0002A450 AdaptiveTimeout_ResetAdaptiveTimeout
          3    2 0001E9D0 AddRefQueryBlobEx
          4    3 00051F50 BreakRecordsIntoBlob
          5    4 000242F0 Coalesce_UpdateNetVersion
          6    5 00052080 CombineRecordsInBlob
          7    6 0001E610 DeRefQueryBlobEx
          8    7 00024100 DelaySortDAServerlist
          9    8 000585F0 DnsAcquireContextHandle_A
         10    9 00058630 DnsAcquireContextHandle_W
         11    A 0004BFB0 DnsAllocateRecord
         12    B 00002FD0 DnsApiAlloc
         13    C 0004EB20 DnsApiAllocZero
         14    D 00002DA0 DnsApiFree
         15    E 0004EB30 DnsApiHeapReset
         16    F 0004EB50 DnsApiRealloc
         17   10 0004BFC0 DnsApiSetDebugGlobals
         18   11 0004BFD0 DnsAsyncRegisterHostAddrs
         19   12 0004BFE0 DnsAsyncRegisterInit
         20   13 0002A5F0 DnsAsyncRegisterTerm
         21   14 000522C0 DnsCancelQuery
         22   15 00027970 DnsConnectionDeletePolicyEntries
         23   16 000264A0 DnsConnectionDeletePolicyEntriesPrivate
         24   17 000685C0 DnsConnectionDeleteProxyInfo
         25   18 000685D0 DnsConnectionFreeNameList
         26   19 000685E0 DnsConnectionFreeProxyInfo
         27   1A 000036E0 DnsConnectionFreeProxyInfoEx
         28   1B 000685F0 DnsConnectionFreeProxyList
         29   1C 00068600 DnsConnectionGetHandleForHostUrlPrivate
         30   1D 000686F0 DnsConnectionGetNameList
         31   1E 00068700 DnsConnectionGetProxyInfo
         32   1F 00013790 DnsConnectionGetProxyInfoForHostUrl
         33   20 00068710 DnsConnectionGetProxyList
         34   21 00027AB0 DnsConnectionSetPolicyEntries
         35   22 00026A40 DnsConnectionSetPolicyEntriesPrivate
         36   23 00068720 DnsConnectionSetProxyInfo
         37   24 00024500 DnsConnectionUpdateIfIndexTable
         38   25 0004BFF0 DnsCopyStringEx
         39   26 0004C040 DnsCreateReverseNameStringForIpAddress
         40   27 0004C050 DnsCreateStandardDnsNameCopy
         41   28 0004C060 DnsCreateStringCopy
         42   29 00066650 DnsDeRegisterLocal
         43   2A 000263E0 DnsDhcpRegisterAddrs
         44   2B 00049060 DnsDhcpRegisterHostAddrs
         45   2C 0002A5C0 DnsDhcpRegisterInit
         46   2D 0002A5F0 DnsDhcpRegisterTerm
         47   2E 00049110 DnsDhcpRemoveRegistrations
         48   2F 00049CF0 DnsDhcpSrvRegisterHostAddr
         49   30 00049DA0 DnsDhcpSrvRegisterHostAddrEx
         50   31 00049E10 DnsDhcpSrvRegisterHostName
         51   32 00049E90 DnsDhcpSrvRegisterHostNameEx
         52   33 00049FF0 DnsDhcpSrvRegisterInit
         53   34 0004A210 DnsDhcpSrvRegisterInitEx
         54   35 0004C070 DnsDhcpSrvRegisterInitialize
         55   36 0004A230 DnsDhcpSrvRegisterTerm
         56   37 0005B740 DnsDisableIdnEncoding
         57   38 0004C080 DnsDowncaseDnsNameLabel
         58   39 00053060 DnsExtractRecordsFromMessage_UTF8
