Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\dui70.dll

File Type: DLL

  Section contains the following exports for DUI70.dll

    00000000 characteristics
     E9BCC11 time date stamp
        0.00 version
           1 ordinal base
        4321 number of functions
        4321 number of names

    ordinal hint RVA      name

          1    0 000E5730 ??0?$PatternProvider@VExpandCollapseProvider@DirectUI@@UIExpandCollapseProvider@@$00@DirectUI@@QEAA@XZ
          2    1 000E8510 ??0?$PatternProvider@VGridItemProvider@DirectUI@@UIGridItemProvider@@$01@DirectUI@@QEAA@XZ
          3    2 000E8BD0 ??0?$PatternProvider@VGridProvider@DirectUI@@UIGridProvider@@$02@DirectUI@@QEAA@XZ
          4    3 000E5770 ??0?$PatternProvider@VInvokeProvider@DirectUI@@UIInvokeProvider@@$0A@@DirectUI@@QEAA@XZ
          5    4 000E57B0 ??0?$PatternProvider@VRangeValueProvider@DirectUI@@UIRangeValueProvider@@$03@DirectUI@@QEAA@XZ
          6    5 000EA0F0 ??0?$PatternProvider@VScrollItemProvider@DirectUI@@UIScrollItemProvider@@$05@DirectUI@@QEAA@XZ
          7    6 000E57F0 ??0?$PatternProvider@VScrollProvider@DirectUI@@UIScrollProvider@@$04@DirectUI@@QEAA@XZ
          8    7 000E5830 ??0?$PatternProvider@VSelectionItemProvider@DirectUI@@UISelectionItemProvider@@$06@DirectUI@@QEAA@XZ
          9    8 000EB5C0 ??0?$PatternProvider@VSelectionProvider@DirectUI@@UISelectionProvider@@$07@DirectUI@@QEAA@XZ
         10    9 000EBCF0 ??0?$PatternProvider@VTableItemProvider@DirectUI@@UITableItemProvider@@$09@DirectUI@@QEAA@XZ
         11    A 000EC400 ??0?$PatternProvider@VTableProvider@DirectUI@@UITableProvider@@$08@DirectUI@@QEAA@XZ
         12    B 000E6BF0 ??0?$PatternProvider@VToggleProvider@DirectUI@@UIToggleProvider@@$0L@@DirectUI@@QEAA@XZ
         13    C 000EDCD0 ??0?$PatternProvider@VValueProvider@DirectUI@@UIValueProvider@@$0M@@DirectUI@@QEAA@XZ
         14    D 000E6C30 ??0?$SafeArrayAccessor@H@DirectUI@@QEAA@XZ
         15    E 0008A400 ??0AccessibleButton@DirectUI@@QEAA@$$QEAV01@@Z
         16    F 0008A400 ??0AccessibleButton@DirectUI@@QEAA@AEBV01@@Z
         17   10 00003860 ??0AccessibleButton@DirectUI@@QEAA@XZ
         18   11 0008A440 ??0AnimationStrip@DirectUI@@QEAA@AEBV01@@Z
         19   12 000BD750 ??0AnimationStrip@DirectUI@@QEAA@XZ
         20   13 0008A4F0 ??0AutoButton@DirectUI@@QEAA@$$QEAV01@@Z
         21   14 0008A4F0 ??0AutoButton@DirectUI@@QEAA@AEBV01@@Z
         22   15 0008A520 ??0AutoButton@DirectUI@@QEAA@XZ
         23   16 00039950 ??0AutoLock@DirectUI@@QEAA@PEAU_RTL_CRITICAL_SECTION@@@Z
         24   17 00046990 ??0AutoThread@DirectUI@@QEAA@XZ
         25   18 00069040 ??0AutoVariant@DirectUI@@QEAA@XZ
         26   19 0006F1C0 ??0BaseScrollBar@DirectUI@@QEAA@$$QEAV01@@Z
         27   1A 0006F1C0 ??0BaseScrollBar@DirectUI@@QEAA@AEBV01@@Z
         28   1B 0006F1E0 ??0BaseScrollBar@DirectUI@@QEAA@XZ
