Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\esent.dll

File Type: DLL

  Section contains the following exports for ESENT.dll

    00000000 characteristics
    5D87557D time date stamp
        0.00 version
           1 ordinal base
         375 number of functions
         375 number of names

    ordinal hint RVA      name

          1    0 00244EB0 DebugExtensionInitialize
          2    1 00022090 DebugExtensionNotify
          3    2 00022090 DebugExtensionUninitialize
          4    3 000EAEF0 JetAddColumn
          5    4 000EAEF0 JetAddColumnA
          6    5 000CA7D0 JetAddColumnW
          7    6 0001FF20 JetAttachDatabase
          8    7 001AD750 JetAttachDatabase2
          9    8 001AD750 JetAttachDatabase2A
         10    9 000225E0 JetAttachDatabase2W
         11    A 001AD990 JetAttachDatabase3
         12    B 001AD990 JetAttachDatabase3A
         13    C 001ADBB0 JetAttachDatabase3W
         14    D 0001FF20 JetAttachDatabaseA
         15    E 000D6B00 JetAttachDatabaseW
         16    F 001ADDD0 JetAttachDatabaseWithStreaming
         17   10 001ADDD0 JetAttachDatabaseWithStreamingA
         18   11 001ADE70 JetAttachDatabaseWithStreamingW
         19   12 001ADF10 JetBackup
         20   13 001ADF10 JetBackupA
         21   14 001ADF60 JetBackupInstance
         22   15 001ADF60 JetBackupInstanceA
         23   16 001AE3B0 JetBackupInstanceW
         24   17 001AE5F0 JetBackupW
         25   18 001AE640 JetBeginDatabaseIncrementalReseed
         26   19 001AE640 JetBeginDatabaseIncrementalReseedA
         27   1A 001AEA00 JetBeginDatabaseIncrementalReseedW
         28   1B 001AEC10 JetBeginExternalBackup
         29   1C 001AEC40 JetBeginExternalBackupInstance
         30   1D 000429B0 JetBeginSession
         31   1E 000429B0 JetBeginSessionA
         32   1F 000407C0 JetBeginSessionW
         33   20 001AEF80 JetBeginSurrogateBackup
         34   21 000839D0 JetBeginTransaction
         35   22 000CC1B0 JetBeginTransaction2
         36   23 000CAC00 JetBeginTransaction3
         37   24 000A23C0 JetCloseDatabase
         38   25 001AF330 JetCloseFile
         39   26 001AF360 JetCloseFileInstance
         40   27 000BAB10 JetCloseTable
         41   28 00083890 JetCommitTransaction
         42   29 000D5360 JetCommitTransaction2
         43   2A 001AF650 JetCompact
         44   2B 001AF650 JetCompactA
         45   2C 001AFB40 JetCompactW
         46   2D 001AFD70 JetComputeStats
         47   2E 001B00B0 JetConfigureProcessForCrashDump
         48   2F 001B01A0 JetConsumeLogData
         49   30 001B0760 JetConvertDDL
         50   31 001B0760 JetConvertDDLA
         51   32 001B1510 JetConvertDDLW
         52   33 000F0370 JetCreateDatabase
         53   34 001B1730 JetCreateDatabase2
         54   35 001B1730 JetCreateDatabase2A
         55   36 00009BC0 JetCreateDatabase2W
         56   37 001B1970 JetCreateDatabase3
         57   38 001B1970 JetCreateDatabase3A
         58   39 001B1BA0 JetCreateDatabase3W
         59   3A 000F0370 JetCreateDatabaseA
         60   3B 000E24B0 JetCreateDatabaseW
         61   3C 001B1DD0 JetCreateDatabaseWithStreaming
         62   3D 001B1DD0 JetCreateDatabaseWithStreamingA
         63   3E 001B1E30 JetCreateDatabaseWithStreamingW
         64   3F 001B1E90 JetCreateEncryptionKey
         65   40 001B29C0 JetCreateIndex
         66   41 000E3220 JetCreateIndex2
         67   42 000E3220 JetCreateIndex2A
         68   43 001B2080 JetCreateIndex2W
         69   44 001B22D0 JetCreateIndex3A
         70   45 00009140 JetCreateIndex3W
