Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\framedyn.dll

File Type: DLL

  Section contains the following exports for framedyn.dll

    00000000 characteristics
    4FD9ED7D time date stamp
        0.00 version
           1 ordinal base
         614 number of functions
         614 number of names

    ordinal hint RVA      name

          1    0 00015810 ??0CAutoEvent@@QEAA@XZ
          2    1 00001EB0 ??0CFrameworkQuery@@QEAA@AEBV0@@Z
          3    2 00003EA0 ??0CFrameworkQuery@@QEAA@XZ
          4    3 00005780 ??0CFrameworkQueryEx@@QEAA@AEBV0@@Z
          5    4 00005820 ??0CFrameworkQueryEx@@QEAA@XZ
          6    5 0001C290 ??0CHPtrArray@@QEAA@XZ
          7    6 0001A180 ??0CHString@@QEAA@AEBV0@@Z
          8    7 00019F70 ??0CHString@@QEAA@GH@Z
          9    8 0001A090 ??0CHString@@QEAA@PEBD@Z
         10    9 00001670 ??0CHString@@QEAA@PEBE@Z
         11    A 0001A110 ??0CHString@@QEAA@PEBG@Z
         12    B 0001A030 ??0CHString@@QEAA@PEBGH@Z
         13    C 00019F50 ??0CHString@@QEAA@XZ
         14    D 0001C290 ??0CHStringArray@@QEAA@XZ
         15    E 00002360 ??0CInstance@@QEAA@AEBV0@@Z
         16    F 00006700 ??0CInstance@@QEAA@PEAUIWbemClassObject@@PEAVMethodContext@@@Z
         17   10 00014080 ??0CObjectPathParser@@QEAA@W4ObjectParserFlags@@@Z
         18   11 00002540 ??0CRegistry@@QEAA@AEBV0@@Z
         19   12 0001CFA0 ??0CRegistry@@QEAA@XZ
         20   13 00002760 ??0CRegistrySearch@@QEAA@AEBV0@@Z
         21   14 0001E660 ??0CRegistrySearch@@QEAA@XZ
         22   15 00001AE0 ??0CThreadBase@@QEAA@AEBV0@@Z
         23   16 0000AAC0 ??0CThreadBase@@QEAA@W4THREAD_SAFETY_MECHANISM@0@@Z
         24   17 00002330 ??0CWbemGlueFactory@@QEAA@AEBV0@@Z
         25   18 00003400 ??0CWbemGlueFactory@@QEAA@PEAJ@Z
         26   19 00003390 ??0CWbemGlueFactory@@QEAA@XZ
         27   1A 00002200 ??0CWbemProviderGlue@@QEAA@AEBV0@@Z
         28   1B 0000AC40 ??0CWbemProviderGlue@@QEAA@PEAJ@Z
         29   1C 0000ABE0 ??0CWbemProviderGlue@@QEAA@XZ
         30   1D 00015890 ??0CWinMsgEvent@@QEAA@AEBV0@@Z
         31   1E 00015890 ??0CWinMsgEvent@@QEAA@XZ
         32   1F 00003BF0 ??0CreateMutexAsProcess@@QEAA@PEBG@Z
         33   20 00013C70 ??0KeyRef@@QEAA@PEBGPEBUtagVARIANT@@@Z
         34   21 00013C40 ??0KeyRef@@QEAA@XZ
         35   22 00001C40 ??0MethodContext@@QEAA@AEBV0@@Z
         36   23 000091B0 ??0MethodContext@@QEAA@PEAUIWbemContext@@PEAVCWbemProviderGlue@@@Z
         37   24 00013480 ??0ParsedObjectPath@@QEAA@XZ
         38   25 00002020 ??0Provider@@QEAA@AEBV0@@Z
         39   26 00009750 ??0Provider@@QEAA@PEBG0@Z
         40   27 00002800 ??0ProviderLog@@QEAA@AEBV0@@Z
         41   28 00002B40 ??0ProviderLog@@QEAA@XZ
         42   29 00001A80 ??0WBEMTime@@QEAA@AEBU_FILETIME@@@Z
         43   2A 00001A60 ??0WBEMTime@@QEAA@AEBU_SYSTEMTIME@@@Z
