Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\framedynos.dll

File Type: DLL

  Section contains the following exports for framedynos.dll

    00000000 characteristics
    29F94FA1 time date stamp
        0.00 version
           1 ordinal base
         611 number of functions
         611 number of names

    ordinal hint RVA      name

          1    0 000037D0 ??0CAutoEvent@@QEAA@XZ
          2    1 0001C560 ??0CFrameworkQuery@@QEAA@AEBV0@@Z
          3    2 000066C0 ??0CFrameworkQuery@@QEAA@XZ
          4    3 0001DC30 ??0CFrameworkQueryEx@@QEAA@AEBV0@@Z
          5    4 00006710 ??0CFrameworkQueryEx@@QEAA@XZ
          6    5 00002B60 ??0CHPtrArray@@QEAA@XZ
          7    6 000024A0 ??0CHString@@QEAA@AEBV0@@Z
          8    7 000278E0 ??0CHString@@QEAA@GH@Z
          9    8 0000CB50 ??0CHString@@QEAA@PEBD@Z
         10    9 0001C640 ??0CHString@@QEAA@PEBE@Z
         11    A 000099C0 ??0CHString@@QEAA@PEBG@Z
         12    B 000279A0 ??0CHString@@QEAA@PEBGH@Z
         13    C 00001F10 ??0CHString@@QEAA@XZ
         14    D 00002B60 ??0CHStringArray@@QEAA@XZ
         15    E 0001C670 ??0CInstance@@QEAA@AEBV0@@Z
         16    F 0000F460 ??0CInstance@@QEAA@PEAUIWbemClassObject@@PEAVMethodContext@@@Z
         17   10 0000E800 ??0CObjectPathParser@@QEAA@W4ObjectParserFlags@@@Z
         18   11 0001D100 ??0CRegistry@@QEAA@AEBV0@@Z
         19   12 0000C6C0 ??0CRegistry@@QEAA@XZ
         20   13 0001D230 ??0CRegistrySearch@@QEAA@AEBV0@@Z
         21   14 00029380 ??0CRegistrySearch@@QEAA@XZ
         22   15 0001C6A0 ??0CThreadBase@@QEAA@AEBV0@@Z
         23   16 0000BE60 ??0CThreadBase@@QEAA@W4THREAD_SAFETY_MECHANISM@0@@Z
         24   17 0001C6E0 ??0CWbemGlueFactory@@QEAA@AEBV0@@Z
         25   18 0000D780 ??0CWbemGlueFactory@@QEAA@PEAJ@Z
         26   19 0001D720 ??0CWbemGlueFactory@@QEAA@XZ
         27   1A 0001C700 ??0CWbemProviderGlue@@QEAA@AEBV0@@Z
         28   1B 0000CCB0 ??0CWbemProviderGlue@@QEAA@PEAJ@Z
         29   1C 0000C8C0 ??0CWbemProviderGlue@@QEAA@XZ
         30   1D 00026140 ??0CWinMsgEvent@@QEAA@AEBV0@@Z
         31   1E 00026140 ??0CWinMsgEvent@@QEAA@XZ
         32   1F 00002D20 ??0CreateMutexAsProcess@@QEAA@PEBG@Z
         33   20 000252E0 ??0KeyRef@@QEAA@PEBGPEBUtagVARIANT@@@Z
         34   21 00025360 ??0KeyRef@@QEAA@XZ
         35   22 0001C760 ??0MethodContext@@QEAA@AEBV0@@Z
         36   23 00006CF0 ??0MethodContext@@QEAA@PEAUIWbemContext@@PEAVCWbemProviderGlue@@@Z
         37   24 00010C10 ??0ParsedObjectPath@@QEAA@XZ
         38   25 0001C7C0 ??0Provider@@QEAA@AEBV0@@Z
         39   26 00007D20 ??0Provider@@QEAA@PEBG0@Z
         40   27 0001D280 ??0ProviderLog@@QEAA@AEBV0@@Z
         41   28 0000C820 ??0ProviderLog@@QEAA@XZ
         42   29 00002880 ??0WBEMTime@@QEAA@AEBU_FILETIME@@@Z
