Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\gdi32full.dll

File Type: DLL

  Section contains the following exports for gdi32full.dll

    00000000 characteristics
    6E3B72C0 time date stamp
        0.00 version
        1000 ordinal base
        1221 number of functions
        1211 number of names

    ordinal hint RVA      name

       1004    0 00071590 AbortDocImpl
       1008    1 000748B0 AbortPath
       1011    2 00061A50 AddFontMemResourceEx
       1012    3 00061AA0 AddFontResourceA
       1014    4 00061AB0 AddFontResourceExA
       1015    5 00061C10 AddFontResourceExW
       1016    6 00061C50 AddFontResourceTracking
       1017    7 00061DF0 AddFontResourceWImpl
       1018    8 00071720 AngleArc
       1019    9 00074790 AnimatePalette
       1020    A 00061E80 AnyLinkedFonts
       1021    B 00071850 Arc
       1022    C 00071A10 ArcTo
       1023    D 0003E910 BeginPath
       1024    E 0003B6E0 BeginPathImpl
       1025    F 0002ACF0 BitBlt
       1026   10 0003C1F0 CancelDC
       1027   11 00064040 CheckColorsInGamut
       1028   12 00074CD0 ChoosePixelFormat
       1029   13 00071B90 Chord
       1030   14 0003C440 ClearBitmapAttributes
       1031   15 00060DE0 ClearBrushAttributes
       1032   16 00080350 CloseEnhMetaFile
       1033   17 0003E920 CloseFigure
       1034   18 0003B9F0 CloseFigureImpl
       1035   19 0006E7C0 CloseMetaFile
       1036   1A 00064280 ColorCorrectPalette
       1037   1B 00064540 ColorMatchToTarget
       1038   1C 00061010 CombineTransform
       1039   1D 000806B0 CopyEnhMetaFileA
       1040   1E 00080770 CopyEnhMetaFileW
       1041   1F 0006EA00 CopyMetaFileA
       1042   20 0006EAC0 CopyMetaFileW
       1043   21 0002ED90 CreateBitmap
       1044   22 00060E00 CreateBitmapIndirect
       1045   23 0002F2F0 CreateBrushIndirect
       1046   24 00064820 CreateColorSpaceA
       1047   25 00064C10 CreateColorSpaceW
       1048   26 00020170 CreateCompatibleBitmap
       1049   27 00029A60 CreateCompatibleDC
       1050   28 0003E930 CreateDCA
       1051   29 000313E0 CreateDCAImpl
       1052   2A 0003C460 CreateDCExW
       1053   2B          CreateDCW (forwarded to GDI32.CreateDCW)
       1054   2C 0005F780 CreateDIBPatternBrush
       1055   2D 0005F7E0 CreateDIBPatternBrushPt
       1056   2E 00029C90 CreateDIBSection
       1057   2F 00028E50 CreateDIBitmap
       1058   30 00060FA0 CreateDPIScaledDIBSection
       1059   31 0005F810 CreateDiscardableBitmap
       1060   32 0005F820 CreateEllipticRgn
       1061   33 0005F840 CreateEllipticRgnIndirect
       1062   34 00080900 CreateEnhMetaFileA
       1063   35 00080A40 CreateEnhMetaFileW
       1064   36 00007250 CreateFontA
       1065   37 00007330 CreateFontIndirectA
       1066   38 0005F860 CreateFontIndirectExA
       1067   39 0002D630 CreateFontIndirectExW
       1068   3A 0002D590 CreateFontIndirectW
       1069   3B 0002D590 CreateFontIndirectWImpl
       1070   3C 0002CB00 CreateFontW
       1071   3D 0003EC80 CreateHalftonePalette
       1072   3E 0005F900 CreateHatchBrush
       1073   3F 000313C0 CreateICA
       1074   40          CreateICW (forwarded to GDI32.CreateICW)
       1075   41 0006EC40 CreateMetaFileA
       1076   42 0006ECE0 CreateMetaFileW
       1077   43 00030FB0 CreatePalette
       1078   44 00030C00 CreatePatternBrush
       1079   45 00031180 CreatePen
       1080   46 0005F920 CreatePenIndirect
       1081   47 000600E0 CreatePolyPolygonRgn
