Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\icuuc.dll

File Type: DLL

  Section contains the following exports for icuuc.dll

    00000000 characteristics
    A6331E83 time date stamp
        0.00 version
           1 ordinal base
        2815 number of functions
        2815 number of names

    ordinal hint RVA      name

          1    0 0000E470 ??0?$MaybeStackArray@D$0CI@@icu@@AEAA@AEBV01@@Z
          2    1 0001AA50 ??0?$MaybeStackArray@D$0CI@@icu@@QEAA@H@Z
          3    2 0001AA90 ??0?$MaybeStackArray@D$0CI@@icu@@QEAA@XZ
          4    3 00017450 ??0Appendable@icu@@QEAA@AEBV01@@Z
          5    4 00017450 ??0Appendable@icu@@QEAA@XZ
          6    5 0001C3C0 ??0BreakIterator@icu@@IEAA@AEBV01@@Z
          7    6 0001C420 ??0BreakIterator@icu@@IEAA@AEBVLocale@1@0@Z
          8    7 0001C470 ??0BreakIterator@icu@@IEAA@XZ
          9    8 00017970 ??0ByteSink@icu@@QEAA@XZ
         10    9 0001AAB0 ??0BytesDictionaryMatcher@icu@@QEAA@AEBV01@@Z
         11    A 0001AAE0 ??0BytesDictionaryMatcher@icu@@QEAA@PEBDHPEAUUDataMemory@@@Z
         12    B 0001AB00 ??0BytesTrie@icu@@AEAA@PEAXPEBX@Z
         13    C 0001AB20 ??0BytesTrie@icu@@QEAA@AEBV01@@Z
         14    D 0001AB50 ??0BytesTrie@icu@@QEAA@PEBX@Z
         15    E 0001F590 ??0BytesTrieBuilder@icu@@QEAA@AEAW4UErrorCode@@@Z
         16    F 000233B0 ??0CStr@icu@@QEAA@AEBVUnicodeString@1@@Z
         17   10 0000C170 ??0CacheKeyBase@icu@@QEAA@AEBV01@@Z
         18   11 0000C190 ??0CacheKeyBase@icu@@QEAA@XZ
         19   12 00020BC0 ??0CanonicalIterator@icu@@QEAA@AEBVUnicodeString@1@AEAW4UErrorCode@@@Z
         20   13 00017990 ??0Char16Ptr@icu@@QEAA@$$T@Z
         21   14 00017990 ??0Char16Ptr@icu@@QEAA@PEAG@Z
         22   15 00017990 ??0Char16Ptr@icu@@QEAA@PEA_S@Z
         23   16 00017990 ??0Char16Ptr@icu@@QEAA@PEA_W@Z
         24   17 0001AB70 ??0CharString@icu@@QEAA@AEBV01@AEAW4UErrorCode@@@Z
         25   18 00007240 ??0CharString@icu@@QEAA@PEBDHAEAW4UErrorCode@@@Z
         26   19 0001ABC0 ??0CharString@icu@@QEAA@VStringPiece@1@AEAW4UErrorCode@@@Z
         27   1A 00007870 ??0CharString@icu@@QEAA@XZ
         28   1B 00022EF0 ??0CharacterIterator@icu@@IEAA@AEBV01@@Z
         29   1C 00022F20 ??0CharacterIterator@icu@@IEAA@H@Z
         30   1D 00022F50 ??0CharacterIterator@icu@@IEAA@HH@Z
         31   1E 00022F90 ??0CharacterIterator@icu@@IEAA@HHHH@Z
         32   1F 00023010 ??0CharacterIterator@icu@@IEAA@XZ
         33   20 0001EAE0 ??0CheckedArrayByteSink@icu@@QEAA@PEADH@Z
         34   21 00017990 ??0ConstChar16Ptr@icu@@QEAA@$$T@Z
         35   22 00017990 ??0ConstChar16Ptr@icu@@QEAA@PEBG@Z
         36   23 00017990 ??0ConstChar16Ptr@icu@@QEAA@PEB_S@Z
         37   24 00017990 ??0ConstChar16Ptr@icu@@QEAA@PEB_W@Z
