Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ifsutil.dll

File Type: DLL

  Section contains the following exports for IfsUtil.dll

    00000000 characteristics
    F3C8EAD5 time date stamp
        0.00 version
           1 ordinal base
         321 number of functions
         321 number of names

    ordinal hint RVA      name

          1    0 0000ECB0 ??0BLOCK_CACHE@@QEAA@XZ
          2    1 00005EC0 ??0CANNED_SECURITY@@QEAA@XZ
          3    2 00010FF0 ??0DIGRAPH@@QEAA@XZ
          4    3 00011050 ??0DIGRAPH_EDGE@@QEAA@XZ
          5    4 00004D20 ??0DP_DRIVE@@QEAA@XZ
          6    5 00008010 ??0INTSTACK@@QEAA@XZ
          7    6 000043D0 ??0LOG_IO_DP_DRIVE@@QEAA@XZ
          8    7 0001BE70 ??0MEDIA_TRACK_INFORMATION@@QEAA@XZ
          9    8 000173C0 ??0MOUNT_POINT_MAP@@QEAA@XZ
         10    9 00017400 ??0MOUNT_POINT_TUPLE@@QEAA@XZ
         11    A 000060A0 ??0NUMBER_SET@@QEAA@XZ
         12    B 000196E0 ??0POW_CACHE@@QEAA@XZ
         13    C 00019730 ??0POW_TRACK@@QEAA@XZ
         14    D 00018740 ??0READ_AHEAD_CACHE@@QEAA@XZ
         15    E 00018420 ??0READ_CACHE@@QEAA@XZ
         16    F 00018CD0 ??0READ_MODIFY_WRITE_CACHE@@QEAA@XZ
         17   10 00002BC0 ??0READ_WRITE_CACHE@@QEAA@XZ
         18   11 00005970 ??0SECRUN@@QEAA@XZ
         19   12 0001AA00 ??0SNAPSHOT@@AEAA@XZ
         20   13 0001B3F0 ??0SPARSE_SET@@QEAA@XZ
         21   14 000058E0 ??0SUPERAREA@@IEAA@XZ
         22   15 0001BAF0 ??0TLINK@@QEAA@XZ
         23   16 00002010 ??0VOL_LIODPDRV@@IEAA@XZ
         24   17 00021960 ??0WRITEVIEW_CACHE@@QEAA@XZ
         25   18 00021A80 ??0WRITEVIEW_CACHE_ENTRY@@QEAA@PEAVWRITEVIEW_CACHE@@G@Z
         26   19 00018A40 ??0WRITE_ONCE_CACHE@@QEAA@XZ
         27   1A 0000EE10 ??1BLOCK_CACHE@@UEAA@XZ
         28   1B 00005F30 ??1CANNED_SECURITY@@UEAA@XZ
         29   1C 000110A0 ??1DIGRAPH@@UEAA@XZ
         30   1D 00004CE0 ??1DP_DRIVE@@UEAA@XZ
         31   1E 00008060 ??1INTSTACK@@UEAA@XZ
         32   1F 00011F10 ??1LOG_IO_DP_DRIVE@@UEAA@XZ
         33   20 00017460 ??1MOUNT_POINT_MAP@@UEAA@XZ
         34   21 000060E0 ??1NUMBER_SET@@UEAA@XZ
         35   22 00005940 ??1SECRUN@@UEAA@XZ
         36   23 0001AA40 ??1SNAPSHOT@@EEAA@XZ
         37   24 0001B440 ??1SPARSE_SET@@UEAA@XZ
         38   25 00005920 ??1SUPERAREA@@UEAA@XZ
         39   26 0001BB40 ??1TLINK@@UEAA@XZ
         40   27 00002070 ??1VOL_LIODPDRV@@UEAA@XZ
         41   28 00021BE0 ??1WRITEVIEW_CACHE@@UEAA@XZ
         42   29 00021CD0 ??1WRITEVIEW_CACHE_ENTRY@@QEAA@XZ
         43   2A 00017D80 ?Add@NUMBER_SET@@QEAAEPEBV1@@Z
         44   2B 00017DE0 ?Add@NUMBER_SET@@QEAAEVBIG_INT@@0@Z
