Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\imagehlp.dll

File Type: DLL

  Section contains the following exports for imagehlp.dll

    00000000 characteristics
      E30045 time date stamp
        0.00 version
           1 ordinal base
         153 number of functions
         153 number of names

    ordinal hint RVA      name

          4    0 00006C10 BindImage
          5    1 00006C40 BindImageEx
          6    2 00007490 CheckSumMappedFile
          7    3 00001F50 EnumerateLoadedModules
          8    4 00001F50 EnumerateLoadedModules64
          9    5 00001F70 EnumerateLoadedModulesEx
         10    6 00001F90 EnumerateLoadedModulesExW
         11    7 00001FB0 EnumerateLoadedModulesW64
         12    8 00001FD0 FindDebugInfoFile
         13    9 00001FF0 FindDebugInfoFileEx
         14    A 00002010 FindExecutableImage
         15    B 00002030 FindExecutableImageEx
         16    C 00002050 FindFileInPath
         17    D 00002070 FindFileInSearchPath
         18    E 00007F40 GetImageConfigInformation
         19    F 00007170 GetImageUnusedHeaderBytes
         20   10 00002090 GetSymLoadError
         21   11 00007240 GetTimestampForLoadedLibrary
         22   12 00009FB0 ImageAddCertificate
         23   13 00001CE0 ImageDirectoryEntryToData
         24   14 00001D00 ImageDirectoryEntryToDataEx
         25   15 0000A370 ImageEnumerateCertificates
         26   16 0000A5B0 ImageGetCertificateData
         27   17 00001020 ImageGetCertificateDataEx
         28   18 0000A5D0 ImageGetCertificateHeader
         29   19 0000A6B0 ImageGetDigestStream
         30   1A 00007FF0 ImageLoad
         31   1B 00001DE0 ImageNtHeader
         32   1C 0000ADD0 ImageRemoveCertificate
         33   1D 00007E50 ImageRvaToSection
         34   1E 00007EB0 ImageRvaToVa
         35   1F 00008260 ImageUnload
         36   20 000020B0 ImagehlpApiVersion
         37   21 000020D0 ImagehlpApiVersionEx
         38   22 00001940 IsBufferCleanOfInvalidMarkers
         39   23 000020F0 MakeSureDirectoryPathExists
         40   24 000082D0 MapAndLoad
         41   25 000075B0 MapFileAndCheckSumA
         42   26 000076B0 MapFileAndCheckSumW
         43   27 00008FB0 ReBaseImage
         44   28 00008FB0 ReBaseImage64
         45   29 00002110 RemoveInvalidModuleList
         46   2A 00009770 RemovePrivateCvSymbolic
         47   2B 000097C0 RemovePrivateCvSymbolicEx
          1   2C 00003970 RemoveRelocations
         48   2D 00002130 ReportSymbolLoadSummary
         49   2E 00002150 SearchTreeForFile
         50   2F 00002170 SetCheckUserInterruptShared
         51   30 00008630 SetImageConfigInformation
         52   31 00002190 SetSymLoadError
         53   32 00009410 SplitSymbols
         54   33 000021B0 StackWalk
         55   34 000021B0 StackWalk64
         56   35 000021D0 StackWalkEx
         57   36 000021F0 SymAddrIncludeInlineTrace
         58   37 00002210 SymCleanup
         59   38 00002230 SymCompareInlineTrace
         60   39 00002250 SymEnumSym
         61   3A 00002270 SymEnumSymbols
         62   3B 00002290 SymEnumSymbolsEx
         63   3C 000022B0 SymEnumSymbolsExW
         64   3D 000022D0 SymEnumSymbolsForAddr
         65   3E 000022F0 SymEnumTypes
         66   3F 00002310 SymEnumTypesByName
         67   40 00002330 SymEnumTypesByNameW
         68   41 00002350 SymEnumTypesW
         69   42 00002370 SymEnumerateModules
         70   43 00002370 SymEnumerateModules64
         71   44 00002390 SymEnumerateSymbols
         72   45 00002390 SymEnumerateSymbols64
         73   46 000023B0 SymEnumerateSymbolsW
         74   47 000023B0 SymEnumerateSymbolsW64
