Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\kernel.appcore.dll

File Type: DLL

  Section contains the following exports for AppCore.dll

    00000000 characteristics
    BE88784D time date stamp
        0.00 version
           1 ordinal base
         221 number of functions
         221 number of names

    ordinal hint RVA      name

          2    0 00002B70 AcquireStateLock
          3    1 00002B80 AddExtensionProgId
          4    2 00002B90 AddPackageToFamilyXref
          5    3 00002BA0 AppContainerDeriveSidFromMoniker
          6    4 00002BB0 AppContainerFreeMemory
          7    5 00002BC0 AppContainerLookupDisplayNameMrtReference
          8    6 00002BD0 AppContainerLookupMoniker
          9    7 00002BE0 AppContainerRegisterSid
         10    8 00002BF0 AppContainerUnregisterSid
         11    9 00002C00 AppPolicyGetClrCompat
         12    A 00002C10 AppPolicyGetCreateFileAccess
         13    B 00002C20 AppPolicyGetLifecycleManagement
         14    C 00002C30 AppPolicyGetMediaFoundationCodecLoading
         15    D 00002C40 AppPolicyGetProcessTerminationMethod
         16    E 00002C50 AppPolicyGetShowDeveloperDiagnostic
         17    F 00002C60 AppPolicyGetThreadInitializationType
         18   10 00002C70 AppPolicyGetWindowingModel
         19   11 00002C80 AppXFreeMemory
         20   12 00002C90 AppXGetApplicationData
         21   13 00002CA0 AppXGetDevelopmentMode
         22   14 00002CB0 AppXGetOSMaxVersionTested
         23   15 00002CC0 AppXGetOSMinVersion
         24   16 00002CD0 AppXGetPackageCapabilities
         25   17 00002CE0 AppXGetPackageSid
         26   18 00002CF0 AppXLookupDisplayName
         27   19 00002D00 AppXLookupMoniker
         28   1A 00002D10 AppXUpdatePackageCapabilities
         29   1B 00002D20 ApplicationUserModelIdFromProductId
         30   1C 00001C70 BuildProcThreadAttributeListFromBlob
         31   1D 00002D30 CheckIfStateChangeNotificationExists
         32   1E 00002D40 ClosePackageInfo
         33   1F 00002D50 CloseState
         34   20 00002D60 CloseStateAtom
         35   21 00002D70 CloseStateChangeNotification
         36   22 00002D80 CloseStateContainer
         37   23 00002D90 CloseStateLock
         38   24 00002DA0 CommitStateAtom
         39   25 00002DB0 CouldMultiUserAppsBehaviorBePossibleForPackage
         40   26 00002DC0 CreateStateAtom
         41   27 00002DD0 CreateStateChangeNotification
         42   28 00002DE0 CreateStateContainer
         43   29 00002DF0 CreateStateLock
         44   2A 00002E00 CreateStateSubcontainer
         45   2B 00002E10 DeleteStateAtomValue
         46   2C 00002E20 DeleteStateContainer
         47   2D 00002E30 DeleteStateContainerValue
         48   2E 00002E40 DuplicateStateContainerHandle
         49   2F 00002E50 EnumerateExtensionNames
         50   30 00002E60 EnumerateStateAtomValues
         51   31 00002E70 EnumerateStateContainerItems
         52   32 00002E80 ExtensionProgIdExists
         53   33 00002E90 FindPackagesByPackageFamily
         54   34 00002EA0 FormatApplicationUserModelId
         55   35 00002EB0 FormatApplicationUserModelIdA
         56   36 00001E50 GenerateProcThreadAttributeBlob
         57   37 00002EC0 GetAlternatePackageRoots
         58   38 00002ED0 GetAppDataFolder
         59   39 00002EE0 GetAppModelVersion
         60   3A 00002EF0 GetApplicationUserModelId
         61   3B 00002F00 GetApplicationUserModelIdFromToken
         62   3C 00002F10 GetCurrentApplicationUserModelId
         63   3D 00002F20 GetCurrentPackageApplicationContext
         64   3E 00002F30 GetCurrentPackageApplicationResourcesContext
         65   3F 00002F40 GetCurrentPackageContext
