Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\libcrypto.dll

File Type: DLL

  Section contains the following exports for libcrypto.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
        3477 number of functions
        3477 number of names

    ordinal hint RVA      name

          1    0 000CA5A0 ACCESS_DESCRIPTION_free
          2    1 0013D450 ACCESS_DESCRIPTION_it
          3    2 000CA5B0 ACCESS_DESCRIPTION_new
          4    3 00001000 AES_cbc_encrypt
          5    4 000081E0 AES_cfb128_encrypt
          6    5 00008220 AES_cfb1_encrypt
          7    6 00008260 AES_cfb8_encrypt
          8    7 000082A0 AES_ctr128_encrypt
          9    8 00001030 AES_decrypt
         10    9 000082E0 AES_ecb_encrypt
         11    A 00001690 AES_encrypt
         12    B 000082F0 AES_ige_encrypt
         13    C 00008620 AES_ofb128_encrypt
         14    D 00008610 AES_options
         15    E 00001D00 AES_set_decrypt_key
         16    F 00001F70 AES_set_encrypt_key
         17   10 00008650 AES_unwrap_key
         18   11 000087B0 AES_wrap_key
         19   12 000FD050 ASN1_ANY_it
         20   13 000088F0 ASN1_BIT_STRING_check
         21   14 0001D070 ASN1_BIT_STRING_free
         22   15 00008950 ASN1_BIT_STRING_get_bit
         23   16 000FD0F0 ASN1_BIT_STRING_it
         24   17 00016C50 ASN1_BIT_STRING_name_print
         25   18 0001D080 ASN1_BIT_STRING_new
         26   19 00016D00 ASN1_BIT_STRING_num_asc
         27   1A 0000BB40 ASN1_BIT_STRING_set
         28   1B 00016D70 ASN1_BIT_STRING_set_asc
         29   1C 000089A0 ASN1_BIT_STRING_set_bit
         30   1D 0001D090 ASN1_BMPSTRING_free
         31   1E 000FD270 ASN1_BMPSTRING_it
         32   1F 0001D0A0 ASN1_BMPSTRING_new
         33   20 000FD480 ASN1_BOOLEAN_it
         34   21 0001D0B0 ASN1_ENUMERATED_free
         35   22 00009B90 ASN1_ENUMERATED_get
         36   23 000FD150 ASN1_ENUMERATED_it
         37   24 0001D0C0 ASN1_ENUMERATED_new
         38   25 00009C00 ASN1_ENUMERATED_set
         39   26 00009CF0 ASN1_ENUMERATED_to_BN
         40   27 000FD4E0 ASN1_FBOOLEAN_it
         41   28 0000D7C0 ASN1_GENERALIZEDTIME_adj
         42   29 0000D7E0 ASN1_GENERALIZEDTIME_check
         43   2A 0001D0D0 ASN1_GENERALIZEDTIME_free
         44   2B 000FD420 ASN1_GENERALIZEDTIME_it
         45   2C 0001D0E0 ASN1_GENERALIZEDTIME_new
         46   2D 00017B10 ASN1_GENERALIZEDTIME_print
         47   2E 0000D820 ASN1_GENERALIZEDTIME_set
         48   2F 0000D840 ASN1_GENERALIZEDTIME_set_string
         49   30 0001D0F0 ASN1_GENERALSTRING_free
         50   31 000FD3C0 ASN1_GENERALSTRING_it
         51   32 0001D100 ASN1_GENERALSTRING_new
         52   33 0001D110 ASN1_IA5STRING_free
         53   34 000FD390 ASN1_IA5STRING_it
         54   35 0001D120 ASN1_IA5STRING_new
         55   36 0000A270 ASN1_INTEGER_cmp
         56   37 0000BB30 ASN1_INTEGER_dup
         57   38 0001D130 ASN1_INTEGER_free
         58   39 0000A2B0 ASN1_INTEGER_get
         59   3A 000FD120 ASN1_INTEGER_it
         60   3B 0001D140 ASN1_INTEGER_new
         61   3C 0000A320 ASN1_INTEGER_set
