Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\mfcsubs.dll

File Type: DLL

  Section contains the following exports for MfcSubs.dll

    00000000 characteristics
    4AB08E0A time date stamp
        0.00 version
           1 ordinal base
         165 number of functions
         165 number of names

    ordinal hint RVA      name

          1    0 00003920 ??$ConstructElements@VCString@@@@YAXPEAVCString@@H@Z
          2    1 00003980 ??$CopyElements@VCString@@@@YAXPEAVCString@@PEBV0@H@Z
          3    2 00003940 ??$DestructElements@VCString@@@@YAXPEAVCString@@H@Z
          4    3 00001980 ??$HashKey@AEBU_GUID@@@@YAIAEBU_GUID@@@Z
          5    4 00003A00 ??$HashKey@PEBD@@YAIPEBD@Z
          6    5 000039D0 ??$HashKey@PEBG@@YAIPEBG@Z
          7    6 00001870 ??0CCriticalSection@@QEAA@XZ
          8    7 00003A20 ??0CMapStringToPtr@@QEAA@H@Z
          9    8 00001090 ??0CObject@@IEAA@XZ
         10    9 00002110 ??0CString@@QEAA@AEBV0@@Z
         11    A 00002E30 ??0CString@@QEAA@GH@Z
         12    B 00002530 ??0CString@@QEAA@PEBD@Z
         13    C 00001100 ??0CString@@QEAA@PEBE@Z
         14    D 000024B0 ??0CString@@QEAA@PEBG@Z
         15    E 00002EF0 ??0CString@@QEAA@PEBGH@Z
         16    F 000020F0 ??0CString@@QEAA@XZ
         17   10 00001990 ??0CStringArray@@QEAA@XZ
         18   11 00004010 ??0CSyncObject@@QEAA@PEBG@Z
         19   12 000018C0 ??1CCriticalSection@@UEAA@XZ
         20   13 00003BC0 ??1CMapStringToPtr@@UEAA@XZ
         21   14 000010B0 ??1CObject@@UEAA@XZ
         22   15 000023D0 ??1CString@@QEAA@XZ
         23   16 000019C0 ??1CStringArray@@UEAA@XZ
         24   17 00004030 ??1CSyncObject@@UEAA@XZ
         25   18 00001960 ??4CPlex@@QEAAAEAU0@$$QEAU0@@Z
         26   19 00001950 ??4CPlex@@QEAAAEAU0@AEBU0@@Z
         27   1A 00002620 ??4CString@@QEAAAEBV0@AEBV0@@Z
         28   1B 00001180 ??4CString@@QEAAAEBV0@D@Z
         29   1C 00002F50 ??4CString@@QEAAAEBV0@G@Z
         30   1D 000026D0 ??4CString@@QEAAAEBV0@PEBD@Z
         31   1E 00001130 ??4CString@@QEAAAEBV0@PEBE@Z
         32   1F 00002690 ??4CString@@QEAAAEBV0@PEBG@Z
         33   20 000012E0 ??8@YA_NAEBVCString@@0@Z
         34   21 00001310 ??8@YA_NAEBVCString@@PEBG@Z
         35   22 00001340 ??8@YA_NPEBGAEBVCString@@@Z
         36   23 00001370 ??9@YA_NAEBVCString@@0@Z
         37   24 000013A0 ??9@YA_NAEBVCString@@PEBG@Z
         38   25 000013D0 ??9@YA_NPEBGAEBVCString@@@Z
         39   26 00003DA0 ??ACMapStringToPtr@@QEAAAEAPEAXPEBG@Z
         40   27 000012C0 ??ACString@@QEBAGH@Z
         41   28 00001710 ??ACStringArray@@QEAAAEAVCString@@H@Z
         42   29 000016C0 ??ACStringArray@@QEBA?AVCString@@H@Z
         43   2A 000018B0 ??BCCriticalSection@@QEAAPEAU_RTL_CRITICAL_SECTION@@XZ
         44   2B 00001240 ??BCString@@QEBAPEBGXZ
         45   2C 00001730 ??BCSyncObject@@QEBAPEAXXZ
         46   2D 000027F0 ??H@YA?AVCString@@AEBV0@0@Z
