Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\migisol.dll

File Type: DLL

  Section contains the following exports for migisol.dll

    00000000 characteristics
    C8F5EB64 time date stamp
        0.00 version
           1 ordinal base
         739 number of functions
         739 number of names

    ordinal hint RVA      name

          1    0 00001C20 ??0CDynLib@@IEAA@XZ
          2    1 00001BF0 ??0CIlAdvapi32@@QEAA@$$QEAV0@@Z
          3    2 00001BF0 ??0CIlAdvapi32@@QEAA@AEBV0@@Z
          4    3 00001BF0 ??0CIlAdvapi32@@QEAA@XZ
          5    4 00003400 ??0CIlDeplorch@@QEAA@$$QEAV0@@Z
          6    5 00003400 ??0CIlDeplorch@@QEAA@AEBV0@@Z
          7    6 00003400 ??0CIlDeplorch@@QEAA@XZ
          8    7 00003440 ??0CIlIphlpapi@@QEAA@$$QEAV0@@Z
          9    8 00003440 ??0CIlIphlpapi@@QEAA@AEBV0@@Z
         10    9 00003440 ??0CIlIphlpapi@@QEAA@XZ
         11    A 00003460 ??0CIlKernel32@@QEAA@AEBV0@@Z
         12    B 00003460 ??0CIlKernel32@@QEAA@XZ
         13    C 00008090 ??0CIlMuisetupapi@@QEAA@$$QEAV0@@Z
         14    D 00008090 ??0CIlMuisetupapi@@QEAA@AEBV0@@Z
         15    E 00008090 ??0CIlMuisetupapi@@QEAA@XZ
         16    F 00003350 ??0CIlNt4Advapi32@@QEAA@$$QEAV0@@Z
         17   10 00003350 ??0CIlNt4Advapi32@@QEAA@AEBV0@@Z
         18   11 00003330 ??0CIlNt4Advapi32@@QEAA@XZ
         19   12 00004710 ??0CIlNt4Kernel32@@QEAA@$$QEAV0@@Z
         20   13 00004710 ??0CIlNt4Kernel32@@QEAA@AEBV0@@Z
         21   14 000046F0 ??0CIlNt4Kernel32@@QEAA@XZ
         22   15 000052D0 ??0CIlNt4Netapi32@@QEAA@$$QEAV0@@Z
         23   16 000052D0 ??0CIlNt4Netapi32@@QEAA@AEBV0@@Z
         24   17 000052B0 ??0CIlNt4Netapi32@@QEAA@XZ
         25   18 00007120 ??0CIlNt4Setupapi@@QEAA@$$QEAV0@@Z
         26   19 00007120 ??0CIlNt4Setupapi@@QEAA@AEBV0@@Z
         27   1A 00007100 ??0CIlNt4Setupapi@@QEAA@XZ
         28   1B 00007390 ??0CIlNt4User32@@QEAA@$$QEAV0@@Z
         29   1C 00007390 ??0CIlNt4User32@@QEAA@AEBV0@@Z
         30   1D 00007370 ??0CIlNt4User32@@QEAA@XZ
         31   1E 00007530 ??0CIlNt4Userenv@@QEAA@$$QEAV0@@Z
         32   1F 00007530 ??0CIlNt4Userenv@@QEAA@AEBV0@@Z
         33   20 00007510 ??0CIlNt4Userenv@@QEAA@XZ
         34   21 000076A0 ??0CIlNt6Userenv@@QEAA@$$QEAV0@@Z
         35   22 000076A0 ??0CIlNt6Userenv@@QEAA@AEBV0@@Z
         36   23 00007680 ??0CIlNt6Userenv@@QEAA@XZ
         37   24 000053D0 ??0CIlOle32@@QEAA@$$QEAV0@@Z
         38   25 000053D0 ??0CIlOle32@@QEAA@AEBV0@@Z
         39   26 000053D0 ??0CIlOle32@@QEAA@XZ
         40   27 00005400 ??0CIlOleaut32@@QEAA@$$QEAV0@@Z
         41   28 00005400 ??0CIlOleaut32@@QEAA@AEBV0@@Z
         42   29 00005400 ??0CIlOleaut32@@QEAA@XZ
