Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\msasn1.dll

File Type: DLL

  Section contains the following exports for MSASN1.dll

    00000000 characteristics
    AC91A4B2 time date stamp
        0.00 version
           1 ordinal base
         152 number of functions
         152 number of names

    ordinal hint RVA      name

          1    0 00008040 ASN1BERDecBitString
          2    1 00004B20 ASN1BERDecBitString2
          3    2 00004D60 ASN1BERDecBool
          4    3 000030C0 ASN1BERDecChar16String
          5    4 00008050 ASN1BERDecChar32String
          6    5 000026A0 ASN1BERDecCharString
          7    6 00001930 ASN1BERDecCheck
          8    7 00008F80 ASN1BERDecDouble
          9    8 00001250 ASN1BERDecEndOfContents
         10    9 00002840 ASN1BERDecEoid
         11    A 00002110 ASN1BERDecExplicitTag
         12    B 000082F0 ASN1BERDecFlush
         13    C 000029C0 ASN1BERDecGeneralizedTime
         14    D 00001ED0 ASN1BERDecLength
         15    E 00008320 ASN1BERDecMultibyteString
         16    F 00004D30 ASN1BERDecNotEndOfContents
         17   10 00001200 ASN1BERDecNull
         18   11 00001020 ASN1BERDecObjectIdentifier
         19   12 00001C20 ASN1BERDecObjectIdentifier2
         20   13 000011D0 ASN1BERDecOctetString
         21   14 00001710 ASN1BERDecOctetString2
         22   15 00001460 ASN1BERDecOpenType
         23   16 00001E30 ASN1BERDecOpenType2
         24   17 00002080 ASN1BERDecPeekTag
         25   18 00008330 ASN1BERDecS16Val
         26   19 000032B0 ASN1BERDecS32Val
         27   1A 000083D0 ASN1BERDecS8Val
         28   1B 00001540 ASN1BERDecSXVal
         29   1C 00008450 ASN1BERDecSkip
         30   1D 00001FE0 ASN1BERDecTag
         31   1E 00008570 ASN1BERDecU16Val
         32   1F 00001D80 ASN1BERDecU32Val
         33   20 00008640 ASN1BERDecU8Val
         34   21 00002CB0 ASN1BERDecUTCTime
         35   22 00001320 ASN1BERDecUTF8String
         36   23 000086E0 ASN1BERDecZeroChar16String
         37   24 000086E0 ASN1BERDecZeroChar32String
         38   25 00002F10 ASN1BERDecZeroCharString
         39   26 00008700 ASN1BERDecZeroMultibyteString
         40   27 00005280 ASN1BERDotVal2Eoid
         41   28 00003910 ASN1BEREncBitString
         42   29 00003CF0 ASN1BEREncBool
         43   2A 00003810 ASN1BEREncChar16String
         44   2B 00008710 ASN1BEREncChar32String
         45   2C 00003D60 ASN1BEREncCharString
         46   2D 000093D0 ASN1BEREncCheck
         47   2E 00008F80 ASN1BEREncDouble
         48   2F 000042D0 ASN1BEREncEndOfContents
         49   30 000041A0 ASN1BEREncEoid
         50   31 000043B0 ASN1BEREncExplicitTag
         51   32 00005090 ASN1BEREncFlush
         52   33 000087C0 ASN1BEREncGeneralizedTime
         53   34 00004260 ASN1BEREncLength
         54   35 000087D0 ASN1BEREncMultibyteString
         55   36 000087F0 ASN1BEREncNull
         56   37 00003700 ASN1BEREncObjectIdentifier
         57   38 00003B00 ASN1BEREncObjectIdentifier2
         58   39 00003D60 ASN1BEREncOctetString
         59   3A 00004210 ASN1BEREncOpenType
         60   3B 00003680 ASN1BEREncRemoveZeroBits
         61   3C 00004A90 ASN1BEREncRemoveZeroBits2
         62   3D 000039D0 ASN1BEREncS32
         63   3E 00003880 ASN1BEREncSX
         64   3F 00004410 ASN1BEREncTag
         65   40 00003470 ASN1BEREncU32
         66   41 00008820 ASN1BEREncUTCTime
