Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\msi.dll

File Type: DLL

  Section contains the following exports for msi.dll

    00000000 characteristics
    EC1E5BAB time date stamp
        0.00 version
           5 ordinal base
         295 number of functions
         295 number of names

    ordinal hint RVA      name

        296    0 0009F000 DllCanUnloadNow
        297    1 000ABA00 DllGetClassObject
        182    2 0009F120 DllGetVersion
        298    3 000ABB00 DllRegisterServer
        299    4 000ABEF0 DllUnregisterServer
        235    5 000CBF00 Migrate10CachedPackagesA
        236    6 000CBF50 Migrate10CachedPackagesW
          5    7 000CC5F0 MsiAdvertiseProductA
        227    8 000CC8E0 MsiAdvertiseProductExA
        228    9 000CCC10 MsiAdvertiseProductExW
          6    A 000CD3D0 MsiAdvertiseProductW
        176    B 000CE1A0 MsiAdvertiseScriptA
        177    C 000CE360 MsiAdvertiseScriptW
        239    D 000F9AB0 MsiApplyMultiplePatchesA
        240    E 000F9CE0 MsiApplyMultiplePatchesW
        174    F 000CF150 MsiApplyPatchA
        175   10 000CF3D0 MsiApplyPatchW
        284   11 000FAAA0 MsiBeginTransactionA
        285   12 000FABE0 MsiBeginTransactionW
          7   13 0011E9A0 MsiCloseAllHandles
          8   14 0011F080 MsiCloseHandle
          9   15 000D0150 MsiCollectUserInfoA
         10   16 000D02F0 MsiCollectUserInfoW
         11   17 000D1040 MsiConfigureFeatureA
         12   18 000D1270 MsiConfigureFeatureFromDescriptorA
         13   19 000D1430 MsiConfigureFeatureFromDescriptorW
         14   1A 000D2230 MsiConfigureFeatureW
         15   1B 000D2FA0 MsiConfigureProductA
        189   1C 000D3080 MsiConfigureProductExA
        190   1D 000D3500 MsiConfigureProductExW
         16   1E 000D4520 MsiConfigureProductW
        222   1F 000D5260 MsiCreateAndVerifyInstallerDirectory
         17   20 0011F100 MsiCreateRecord
        185   21 0011F810 MsiCreateTransformSummaryInfoA
        186   22 0011F8C0 MsiCreateTransformSummaryInfoW
         18   23 001204F0 MsiDatabaseApplyTransformA
         19   24 00120590 MsiDatabaseApplyTransformW
         20   25 00120750 MsiDatabaseCommit
         21   26 00120E80 MsiDatabaseExportA
         22   27 00120FD0 MsiDatabaseExportW
         23   28 00121130 MsiDatabaseGenerateTransformA
         24   29 001211E0 MsiDatabaseGenerateTransformW
         25   2A 00121350 MsiDatabaseGetPrimaryKeysA
         26   2B 001213F0 MsiDatabaseGetPrimaryKeysW
         27   2C 00121B90 MsiDatabaseImportA
         28   2D 00121C90 MsiDatabaseImportW
        164   2E 00121DC0 MsiDatabaseIsTablePersistentA
        165   2F 00121E60 MsiDatabaseIsTablePersistentW
         29   30 00122640 MsiDatabaseMergeA
         30   31 001226E0 MsiDatabaseMergeW
         31   32 00122890 MsiDatabaseOpenViewA
         32   33 00122930 MsiDatabaseOpenViewW
        200   34 000D5310 MsiDecomposeDescriptorA
        201   35 000D53B0 MsiDecomposeDescriptorW
        233   36 000D5450 MsiDeleteUserDataA
        234   37 000D5560 MsiDeleteUserDataW
        277   38 000FC280 MsiDetermineApplicablePatchesA
        278   39 000FD8C0 MsiDetermineApplicablePatchesW
        253   3A 000FEE50 MsiDeterminePatchSequenceA
        254   3B 001003F0 MsiDeterminePatchSequenceW
         33   3C 001230D0 MsiDoActionA
         34   3D 00123160 MsiDoActionW
        168   3E 000D6C90 MsiEnableLogA
        169   3F 000D6DE0 MsiEnableLogW
