Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\msvcp110_win.dll

File Type: DLL

  Section contains the following exports for msvcp110_win.dll

    00000000 characteristics
    D4B73854 time date stamp
        0.00 version
           1 ordinal base
        1497 number of functions
        1497 number of names

    ordinal hint RVA      name

          1    0 0000FB40 ??$_Getvals@_W@?$time_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@IEAAX_WAEBV_Locinfo@1@@Z
          2    1 0000FB40 ??$_Getvals@_W@?$time_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@IEAAX_WAEBV_Locinfo@1@@Z
          3    2 0000FB40 ??$_Getvals@_W@?$time_get@_WV?$istreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@IEAAX_WAEBV_Locinfo@1@@Z
          4    3 000108F0 ??0?$_Yarn@D@std@@QEAA@AEBV01@@Z
          5    4 00009290 ??0?$_Yarn@D@std@@QEAA@PEBD@Z
          6    5 000092C0 ??0?$_Yarn@D@std@@QEAA@XZ
          7    6 000092E0 ??0?$_Yarn@_W@std@@QEAA@XZ
          8    7 00010920 ??0?$basic_ios@DU?$char_traits@D@std@@@std@@IEAA@XZ
          9    8 00010940 ??0?$basic_ios@DU?$char_traits@D@std@@@std@@QEAA@PEAV?$basic_streambuf@DU?$char_traits@D@std@@@1@@Z
         10    9 000109B0 ??0?$basic_ios@GU?$char_traits@G@std@@@std@@IEAA@XZ
         11    A 000109D0 ??0?$basic_ios@GU?$char_traits@G@std@@@std@@QEAA@PEAV?$basic_streambuf@GU?$char_traits@G@std@@@1@@Z
         12    B 00010A50 ??0?$basic_ios@_WU?$char_traits@_W@std@@@std@@IEAA@XZ
         13    C 00010A70 ??0?$basic_ios@_WU?$char_traits@_W@std@@@std@@QEAA@PEAV?$basic_streambuf@_WU?$char_traits@_W@std@@@1@@Z
         14    D 00010AF0 ??0?$basic_iostream@DU?$char_traits@D@std@@@std@@IEAA@$$QEAV01@@Z
         15    E 00010C50 ??0?$basic_iostream@DU?$char_traits@D@std@@@std@@QEAA@PEAV?$basic_streambuf@DU?$char_traits@D@std@@@1@@Z
         16    F 00010D00 ??0?$basic_iostream@GU?$char_traits@G@std@@@std@@IEAA@$$QEAV01@@Z
         17   10 00010EC0 ??0?$basic_iostream@GU?$char_traits@G@std@@@std@@QEAA@PEAV?$basic_streambuf@GU?$char_traits@G@std@@@1@@Z
         18   11 00010FE0 ??0?$basic_iostream@_WU?$char_traits@_W@std@@@std@@IEAA@$$QEAV01@@Z
         19   12 000111A0 ??0?$basic_iostream@_WU?$char_traits@_W@std@@@std@@QEAA@PEAV?$basic_streambuf@_WU?$char_traits@_W@std@@@1@@Z
         20   13 000112C0 ??0?$basic_istream@DU?$char_traits@D@std@@@std@@IEAA@$$QEAV01@@Z
         21   14 000113E0 ??0?$basic_istream@DU?$char_traits@D@std@@@std@@QEAA@PEAV?$basic_streambuf@DU?$char_traits@D@std@@@1@_N1@Z
         22   15 000114C0 ??0?$basic_istream@DU?$char_traits@D@std@@@std@@QEAA@PEAV?$basic_streambuf@DU?$char_traits@D@std@@@1@_N@Z
         23   16 000115A0 ??0?$basic_istream@DU?$char_traits@D@std@@@std@@QEAA@W4_Uninitialized@1@@Z
         24   17 00011620 ??0?$basic_istream@GU?$char_traits@G@std@@@std@@IEAA@$$QEAV01@@Z
