Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\msvcrt.dll

File Type: DLL

  Section contains the following exports for msvcrt.dll

    00000000 characteristics
    F362C2F9 time date stamp
        0.00 version
           1 ordinal base
        1317 number of functions
        1317 number of names

    ordinal hint RVA      name

          1    0 0000A560 ??0__non_rtti_object@@QEAA@AEBV0@@Z
          2    1 0000A590 ??0__non_rtti_object@@QEAA@PEBD@Z
          3    2 0000A5C0 ??0bad_cast@@AAE@PBQBD@Z
          4    3 0000A5C0 ??0bad_cast@@AEAA@PEBQEBD@Z
          5    4 0000A5C0 ??0bad_cast@@QAE@ABQBD@Z
          6    5 0000A5C0 ??0bad_cast@@QEAA@AEBQEBD@Z
          7    6 0000A5F0 ??0bad_cast@@QEAA@AEBV0@@Z
          8    7 0000A620 ??0bad_cast@@QEAA@PEBD@Z
          9    8 0000A650 ??0bad_typeid@@QEAA@AEBV0@@Z
         10    9 0000A680 ??0bad_typeid@@QEAA@PEBD@Z
         11    A 0000A6B0 ??0exception@@QEAA@AEBQEBD@Z
         12    B 0000A730 ??0exception@@QEAA@AEBQEBDH@Z
         13    C 0000A750 ??0exception@@QEAA@AEBV0@@Z
         14    D 0000A7E0 ??0exception@@QEAA@XZ
         15    E 0000A800 ??1__non_rtti_object@@UEAA@XZ
         16    F 0000A820 ??1bad_cast@@UEAA@XZ
         17   10 0000A800 ??1bad_typeid@@UEAA@XZ
         18   11 0000A840 ??1exception@@UEAA@XZ
         19   12 000140C0 ??1type_info@@UEAA@XZ
         20   13 000191F0 ??2@YAPEAX_K@Z
         21   14 00019240 ??2@YAPEAX_KHPEBDH@Z
         22   15 00019230 ??3@YAXPEAX@Z
         23   16 0000A870 ??4__non_rtti_object@@QEAAAEAV0@AEBV0@@Z
         24   17 0000A870 ??4bad_cast@@QEAAAEAV0@AEBV0@@Z
         25   18 0000A870 ??4bad_typeid@@QEAAAEAV0@AEBV0@@Z
         26   19 0000A890 ??4exception@@QEAAAEAV0@AEBV0@@Z
         27   1A 000140E0 ??8type_info@@QEBAHAEBV0@@Z
         28   1B 00014110 ??9type_info@@QEBAHAEBV0@@Z
         29   1C 00076050 ??_7__non_rtti_object@@6B@
         30   1D 00076020 ??_7bad_cast@@6B@
         31   1E 00076038 ??_7bad_typeid@@6B@
         32   1F 00076008 ??_7exception@@6B@
         33   20 0000AAC0 ??_Fbad_cast@@QEAAXXZ
         34   21 0000AAE0 ??_Fbad_typeid@@QEAAXXZ
         35   22 00019240 ??_U@YAPEAX_K@Z
         36   23 00019240 ??_U@YAPEAX_KHPEBDH@Z
         37   24 00019250 ??_V@YAXPEAX@Z
         49   25 00019260 ?_query_new_handler@@YAP6AH_K@ZXZ
         50   26 00019330 ?_query_new_mode@@YAHXZ
         51   27 00019280 ?_set_new_handler@@YAP6AH_K@ZP6AH0@Z@Z
         52   28 00019340 ?_set_new_mode@@YAHH@Z
         53   29 0000ACA0 ?_set_se_translator@@YAP6AXIPEAU_EXCEPTION_POINTERS@@@ZP6AXI0@Z@Z
         54   2A 000141C0 ?before@type_info@@QEBAHAEBV1@@Z
         55   2B 0000AD60 ?name@type_info@@QEBAPEBDXZ
         56   2C 000141F0 ?raw_name@type_info@@QEBAPEBDXZ
         57   2D 00019390 ?set_new_handler@@YAP6AXXZP6AXXZ@Z
