Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    3230AA04 time date stamp
        0.00 version
           8 ordinal base
        2364 number of functions
        2363 number of names

    ordinal hint RVA      name

          9    0 0005D230 A_SHAFinal
         10    1 0005E050 A_SHAInit
         11    2 0005E090 A_SHAUpdate
         12    3 000E1AD0 AlpcAdjustCompletionListConcurrencyCount
         13    4 0006FFA0 AlpcFreeCompletionListMessage
         14    5 000E1B00 AlpcGetCompletionListLastMessageInformation
         15    6 000E1B20 AlpcGetCompletionListMessageAttributes
         16    7 00073A50 AlpcGetHeaderSize
         17    8 00073A10 AlpcGetMessageAttribute
         18    9 0004EFC0 AlpcGetMessageFromCompletionList
         19    A 00088D90 AlpcGetOutstandingCompletionListMessageCount
         20    B 000739B0 AlpcInitializeMessageAttribute
         21    C 00087C90 AlpcMaxAllowedMessageLength
         22    D 00088C30 AlpcRegisterCompletionList
         23    E 00073250 AlpcRegisterCompletionListWorkerThread
         24    F 00088D50 AlpcRundownCompletionList
         25   10 00088D70 AlpcUnregisterCompletionList
         26   11 000732B0 AlpcUnregisterCompletionListWorkerThread
         27   12 000774E0 ApiSetQueryApiSetPresence
         28   13 000D74D0 ApiSetQueryApiSetPresenceEx
         29   14 0001E340 CsrAllocateCaptureBuffer
         30   15 0001E300 CsrAllocateMessagePointer
         31   16 0001E880 CsrCaptureMessageBuffer
         32   17 0001E140 CsrCaptureMessageMultiUnicodeStringsInPlace
         33   18 0001E250 CsrCaptureMessageString
         34   19 000CDC40 CsrCaptureTimeout
         35   1A 0001DFC0 CsrClientCallServer
         36   1B 0001DCB0 CsrClientConnectToServer
         37   1C 0001DF90 CsrFreeCaptureBuffer
         38   1D 000CDC60 CsrGetProcessId
         39   1E 00002A50 CsrIdentifyAlertableThread
         40   1F 000D7500 CsrSetPriorityClass
         41   20 000CDC80 CsrVerifyRegion
         42   21 000A3150 DbgBreakPoint
         43   22 00059DE0 DbgPrint
         44   23 00088B60 DbgPrintEx
         45   24 000E1B60 DbgPrintReturnControlC
         46   25 000E1BB0 DbgPrompt
         47   26 000E1BF0 DbgQueryDebugFilterState
         48   27 000E1C00 DbgSetDebugFilterState
         49   28 000CEB70 DbgUiConnectToDbg
         50   29 000CEBE0 DbgUiContinue
         51   2A 000CEC10 DbgUiConvertStateChangeStructure
         52   2B 000CEC20 DbgUiConvertStateChangeStructureEx
         53   2C 000CEED0 DbgUiDebugActiveProcess
         54   2D 000CEF40 DbgUiGetThreadDebugObject
         55   2E 000CEF60 DbgUiIssueRemoteBreakin
         56   2F 000CEFD0 DbgUiRemoteBreakin
         57   30 000CF030 DbgUiSetThreadDebugObject
         58   31 000CF050 DbgUiStopDebugging
         59   32 000CF070 DbgUiWaitStateChange
         60   33 000A3160 DbgUserBreakPoint
         61   34 000889E0 EtwCheckCoverage
         62   35 0010E9B0 EtwCreateTraceInstanceId
         63   36 0006B7A0 EtwDeliverDataBlock
         64   37 0010E590 EtwEnumerateProcessRegGuids
         65   38 00067960 EtwEventActivityIdControl
         66   39 000626D0 EtwEventEnabled
         67   3A 00074200 EtwEventProviderEnabled
         68   3B 0004CDE0 EtwEventRegister
         69   3C 00073720 EtwEventSetInformation
         70   3D 00056420 EtwEventUnregister
         71   3E 0005B2F0 EtwEventWrite
