Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\odbctrac.dll

File Type: DLL

  Section contains the following exports for ODBCTRAC.dll

    00000000 characteristics
    4F2F2F5E time date stamp
        0.00 version
           1 ordinal base
         303 number of functions
         124 number of names

    ordinal hint RVA      name

        302    0 0000ABC0 TraceCloseLogFile
        301    1 0000A9C0 TraceOpenLogFile
        300    2 0000A140 TraceReturn
          1    3 00001010 TraceSQLAllocConnect
          2    4 000010E0 TraceSQLAllocEnv
         24    5 00004EB0 TraceSQLAllocHandle
         77    6 000065D0 TraceSQLAllocHandleStd
        177    7 00009B70 TraceSQLAllocHandleStdW
          3    8 00001180 TraceSQLAllocStmt
          4    9 00001250 TraceSQLBindCol
         25    A 00004F90 TraceSQLBindParam
         72    B 00004CE0 TraceSQLBindParameter
         55    C 00003740 TraceSQLBrowseConnect
        155    D 00007F20 TraceSQLBrowseConnectW
         78    E 000066B0 TraceSQLBulkOperations
          5    F 000013A0 TraceSQLCancel
         79   10 00006780 TraceSQLCancelHandle
         26   11 00005120 TraceSQLCloseCursor
         27   12 000051C0 TraceSQLColAttribute
        127   13 00008E20 TraceSQLColAttributeW
          6   14 00001440 TraceSQLColAttributes
        106   15 00006930 TraceSQLColAttributesW
         56   16 00003880 TraceSQLColumnPrivileges
        156   17 00008070 TraceSQLColumnPrivilegesW
         40   18 00002600 TraceSQLColumns
        140   19 00007320 TraceSQLColumnsW
         80   1A 00006850 TraceSQLCompleteAsync
         81   1B 00009C60 TraceSQLCompleteAsyncW
          7   1C 000015B0 TraceSQLConnect
        107   1D 00006AA0 TraceSQLConnectW
         28   1E 00005320 TraceSQLCopyDesc
         57   1F 00003A10 TraceSQLDataSources
        157   20 00008200 TraceSQLDataSourcesW
          8   21 00001710 TraceSQLDescribeCol
        108   22 00006C00 TraceSQLDescribeColW
         58   23 00003B90 TraceSQLDescribeParam
          9   24 000018B0 TraceSQLDisconnect
         41   25 00002790 TraceSQLDriverConnect
        141   26 000074B0 TraceSQLDriverConnectW
         71   27 00004B60 TraceSQLDrivers
        171   28 00008C90 TraceSQLDriversW
         29   29 000053E0 TraceSQLEndTran
         10   2A 00001950 TraceSQLError
        110   2B 00006DB0 TraceSQLErrorW
         11   2C 00001AE0 TraceSQLExecDirect
        111   2D 00006F40 TraceSQLExecDirectW
         12   2E 00001BC0 TraceSQLExecute
         59   2F 00003CD0 TraceSQLExtendedFetch
         13   30 00001C60 TraceSQLFetch
         30   31 000054C0 TraceSQLFetchScroll
         60   32 00003E00 TraceSQLForeignKeys
        160   33 00008390 TraceSQLForeignKeysW
         14   34 00001D00 TraceSQLFreeConnect
         15   35 00001DA0 TraceSQLFreeEnv
         31   36 000055A0 TraceSQLFreeHandle
         16   37 00001E40 TraceSQLFreeStmt
         32   38 00005670 TraceSQLGetConnectAttr
        132   39 00008F90 TraceSQLGetConnectAttrW
         42   3A 00002910 TraceSQLGetConnectOption
        142   3B 00007640 TraceSQLGetConnectOptionW
         17   3C 00001F10 TraceSQLGetCursorName
        117   3D 00007030 TraceSQLGetCursorNameW
         43   3E 000029F0 TraceSQLGetData
         33   3F 00005790 TraceSQLGetDescField
        133   40 000090C0 TraceSQLGetDescFieldW
         34   41 000058E0 TraceSQLGetDescRec
        134   42 00009210 TraceSQLGetDescRecW
         35   43 00005AB0 TraceSQLGetDiagField
