Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\oleaut32.dll

File Type: DLL

  Section contains the following exports for OLEAUT32.dll

    00000000 characteristics
    BCDE805B time date stamp
        0.00 version
           2 ordinal base
         501 number of functions
         425 number of names

    ordinal hint RVA      name

        286    0 0000BCC0 BSTR_UserFree
        144    1 00017700 BSTR_UserFree64
        284    2 00016440 BSTR_UserMarshal
        145    3 00016D10 BSTR_UserMarshal64
        283    4 000167B0 BSTR_UserSize
        151    5 00016DF0 BSTR_UserSize64
        285    6 0000BD40 BSTR_UserUnmarshal
        300    7 00016880 BSTR_UserUnmarshal64
        414    8 000571C0 BstrFromVector
        171    9 000465C0 ClearCustData
         31    A 00059F70 CreateDispTypeInfo
        202    B 0001BAF0 CreateErrorInfo
         32    C 0005A300 CreateStdDispatch
        160    D 0002D580 CreateTypeLib
        180    E 00046650 CreateTypeLib2
        146    F 00007F20 DispCallFunc
         29   10 00002F90 DispGetIDsOfNames
         28   11 0005A310 DispGetParam
         30   12 00003230 DispInvoke
        301   13 000178C0 DllCanUnloadNow
        302   14 0000EBF0 DllGetClassObject
        320   15 0005A990 DllRegisterServer
        321   16 0005AC90 DllUnregisterServer
         14   17 00019D80 DosDateTimeToVariantTime
         35   18 0005AD40 GetActiveObject
        332   19 0005B2D0 GetAltMonthNames
        200   1A 0001BB00 GetErrorInfo
        322   1B 00060050 GetRecordInfoFromGuids
        323   1C 000601C0 GetRecordInfoFromTypeInfo
        326   1D 000310B0 GetVarConversionLocaleSetting
        445   1E          HWND_UserFree (forwarded to COMBASE.HWND_UserFree)
        449   1F          HWND_UserFree64 (forwarded to COMBASE.HWND_UserFree64)
        446   20          HWND_UserMarshal (forwarded to COMBASE.HWND_UserMarshal)
        450   21          HWND_UserMarshal64 (forwarded to COMBASE.HWND_UserMarshal64)
        447   22          HWND_UserSize (forwarded to COMBASE.HWND_UserSize)
        451   23          HWND_UserSize64 (forwarded to COMBASE.HWND_UserSize64)
        448   24          HWND_UserUnmarshal (forwarded to COMBASE.HWND_UserUnmarshal)
        452   25          HWND_UserUnmarshal64 (forwarded to COMBASE.HWND_UserUnmarshal64)
        165   26 000147B0 LHashValOfNameSys
        166   27 00014510 LHashValOfNameSysA
        296   28 00003BC0 LPSAFEARRAY_Marshal
        295   29 00003AB0 LPSAFEARRAY_Size
        297   2A 000042B0 LPSAFEARRAY_Unmarshal
        294   2B 00016AE0 LPSAFEARRAY_UserFree
        324   2C 00056EF0 LPSAFEARRAY_UserFree64
        292   2D 00056F00 LPSAFEARRAY_UserMarshal
        328   2E 00002B00 LPSAFEARRAY_UserMarshal64
        291   2F 00056F10 LPSAFEARRAY_UserSize
        350   30 00002E60 LPSAFEARRAY_UserSize64
        293   31 00056F20 LPSAFEARRAY_UserUnmarshal
        351   32 00002680 LPSAFEARRAY_UserUnmarshal64
        162   33 00014760 LoadRegTypeLib
        161   34 000179A0 LoadTypeLib
        183   35 0000D860 LoadTypeLibEx
        500   36 00012210 OACleanup
        352   37 00046650 OACreateTypeLib2
        170   38 00031580 OaBuildVersion
        444   39 000310E0 OaEnablePerUserTLibRegistration
        420   3A 000031E0 OleCreateFontIndirect
        419   3B 00003180 OleCreatePictureIndirect
        417   3C 00060D80 OleCreatePropertyFrame
        416   3D 00060DE0 OleCreatePropertyFrameIndirect
        415   3E 00060E20 OleIconToCursor
