Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\opengl32.dll

File Type: DLL

  Section contains the following exports for OPENGL32.dll

    00000000 characteristics
    9747484E time date stamp
        0.00 version
           1 ordinal base
         368 number of functions
         368 number of names

    ordinal hint RVA      name

          1    0 00026620 GlmfBeginGlsBlock
          2    1 00026940 GlmfCloseMetaFile
          3    2 00026800 GlmfEndGlsBlock
          4    3 00026840 GlmfEndPlayback
          5    4 000262F0 GlmfInitPlayback
          6    5 00026680 GlmfPlayGlsRecord
          7    6 0002EBB0 glAccum
          8    7 0002F460 glAlphaFunc
          9    8 00030C40 glAreTexturesResident
         10    9 00031230 glArrayElement
         11    A 0002B710 glBegin
         12    B 00030CB0 glBindTexture
         13    C 0002B730 glBitmap
         14    D 0002F4C0 glBlendFunc
         15    E 0002B5B0 glCallList
         16    F 0002B5D0 glCallLists
         17   10 0002E7C0 glClear
         18   11 0002E810 glClearAccum
         19   12 0002E900 glClearColor
         20   13 0002E9E0 glClearDepth
         21   14 0002E8A0 glClearIndex
         22   15 0002E990 glClearStencil
         23   16 0002D370 glClipPlane
         24   17 0002B7D0 glColor3b
         25   18 0002B7F0 glColor3bv
         26   19 0002B810 glColor3d
         27   1A 0002B830 glColor3dv
         28   1B 0002B850 glColor3f
         29   1C 0002B870 glColor3fv
         30   1D 0002B890 glColor3i
         31   1E 0002B8B0 glColor3iv
         32   1F 0002B8D0 glColor3s
         33   20 0002B8F0 glColor3sv
         34   21 0002B910 glColor3ub
         35   22 0002B930 glColor3ubv
         36   23 0002B950 glColor3ui
         37   24 0002B970 glColor3uiv
         38   25 0002B990 glColor3us
         39   26 0002B9B0 glColor3usv
         40   27 0002B9D0 glColor4b
         41   28 0002BA00 glColor4bv
         42   29 0002BA20 glColor4d
         43   2A 0002BA50 glColor4dv
         44   2B 0002BA70 glColor4f
         45   2C 0002BAA0 glColor4fv
         46   2D 0002BAC0 glColor4i
         47   2E 0002BAF0 glColor4iv
         48   2F 0002BB10 glColor4s
         49   30 0002BB40 glColor4sv
         50   31 0002BB60 glColor4ub
         51   32 0002BB90 glColor4ubv
         52   33 0002BBB0 glColor4ui
         53   34 0002BBE0 glColor4uiv
         54   35 0002BC00 glColor4us
         55   36 0002BC30 glColor4usv
         56   37 0002EA90 glColorMask
         57   38 0002D3D0 glColorMaterial
         58   39 00031250 glColorPointer
         59   3A 0002FA30 glCopyPixels
         60   3B 00030CD0 glCopyTexImage1D
         61   3C 00030D70 glCopyTexImage2D
         62   3D 00030E20 glCopyTexSubImage1D
         63   3E 00030EB0 glCopyTexSubImage2D
         64   3F 0002D430 glCullFace
         65   40 0002B4D0 glDebugEntry
         66   41 0002B5F0 glDeleteLists
         67   42 00030F60 glDeleteTextures
         68   43 0002F650 glDepthFunc
         69   44 0002EB10 glDepthMask
         70   45 00030810 glDepthRange
         71   46 0002EC10 glDisable
         72   47 00031280 glDisableClientState
         73   48 000312A0 glDrawArrays
         74   49 0002E770 glDrawBuffer
         75   4A 000312C0 glDrawElements
         76   4B 0002FB50 glDrawPixels
         77   4C 0002BC50 glEdgeFlag
         78   4D 000312F0 glEdgeFlagPointer
         79   4E 0002BC70 glEdgeFlagv
         80   4F 0002EC30 glEnable
         81   50 00031310 glEnableClientState
         82   51 0002BC90 glEnd
         83   52 0002B560 glEndList
         84   53 0002F230 glEvalCoord1d
