Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\pdh.dll

File Type: DLL

  Section contains the following exports for pdh.dll

    00000000 characteristics
    98625652 time date stamp
        0.00 version
           1 ordinal base
         129 number of functions
         129 number of names

    ordinal hint RVA      name

         12    0 00012FB0 PdhAdd009CounterA
         13    1 000028A0 PdhAdd009CounterW
         14    2 00013150 PdhAddCounterA
         15    3 00003530 PdhAddCounterW
         16    4 00013340 PdhAddEnglishCounterA
         17    5 00002890 PdhAddEnglishCounterW
         18    6 00017650 PdhAddRelogCounter
         19    7 00013350 PdhAddV1Counter
         20    8 00013430 PdhAddV2Counter
         21    9 00019090 PdhBindInputDataSourceA
         22    A 00019220 PdhBindInputDataSourceW
         23    B 00034F20 PdhBrowseCountersA
         24    C 00034FC0 PdhBrowseCountersHA
         25    D 00035060 PdhBrowseCountersHW
         26    E 00035100 PdhBrowseCountersW
         27    F 0000FD40 PdhCalculateCounterFromRawValue
         28   10 00019590 PdhCloseLog
         29   11 000084C0 PdhCloseQuery
         30   12 000052B0 PdhCollectQueryData
         31   13 00013510 PdhCollectQueryDataEx
         32   14 00013740 PdhCollectQueryDataWithTime
         33   15 0000FF00 PdhComputeCounterStatistics
         34   16 000351A0 PdhConnectMachineA
         35   17 000352A0 PdhConnectMachineW
         36   18 00024450 PdhCreateSQLTablesA
         37   19 00024500 PdhCreateSQLTablesW
         38   1A 00024570 PdhEnumLogSetNamesA
         39   1B 00024690 PdhEnumLogSetNamesW
         40   1C 00035350 PdhEnumMachinesA
         41   1D 000354D0 PdhEnumMachinesHA
         42   1E 00035640 PdhEnumMachinesHW
         43   1F 000357C0 PdhEnumMachinesW
         44   20 00035940 PdhEnumObjectItemsA
         45   21 00035BB0 PdhEnumObjectItemsHA
         46   22 00035F40 PdhEnumObjectItemsHW
         47   23 00036250 PdhEnumObjectItemsW
         48   24 000364C0 PdhEnumObjectsA
         49   25 00036660 PdhEnumObjectsHA
         50   26 00036860 PdhEnumObjectsHW
         51   27 00036A30 PdhEnumObjectsW
         52   28 00039FC0 PdhExpandCounterPathA
         53   29 00039FF0 PdhExpandCounterPathW
         54   2A 0003A020 PdhExpandWildCardPathA
         55   2B 0003A1C0 PdhExpandWildCardPathHA
         56   2C 0003A320 PdhExpandWildCardPathHW
         57   2D 0003A420 PdhExpandWildCardPathW
         58   2E 00013820 PdhFormatFromRawValue
         59   2F 000100D0 PdhGetCounterInfoA
         60   30 00010170 PdhGetCounterInfoW
         61   31 00009D40 PdhGetCounterTimeBase
         62   32 00019650 PdhGetDataSourceTimeRangeA
         63   33 000197B0 PdhGetDataSourceTimeRangeH
         64   34 000199F0 PdhGetDataSourceTimeRangeW
         65   35 00036BD0 PdhGetDefaultPerfCounterA
         66   36 00036CA0 PdhGetDefaultPerfCounterHA
         67   37 00036D00 PdhGetDefaultPerfCounterHW
         68   38 00036D60 PdhGetDefaultPerfCounterW
         69   39 00036E40 PdhGetDefaultPerfObjectA
         70   3A 00036F00 PdhGetDefaultPerfObjectHA
         71   3B 00036F60 PdhGetDefaultPerfObjectHW
         72   3C 00037000 PdhGetDefaultPerfObjectW
         73   3D 00013960 PdhGetDllVersion
         74   3E 00037130 PdhGetExplainText
         75   3F 00010210 PdhGetFormattedCounterArrayA
         76   40 00001590 PdhGetFormattedCounterArrayW
         77   41 00001230 PdhGetFormattedCounterValue
