Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\resutils.dll

File Type: DLL

  Section contains the following exports for RESUTILS.dll

    00000000 characteristics
    FEFADBAA time date stamp
        0.00 version
           1 ordinal base
         144 number of functions
         144 number of names

    ordinal hint RVA      name

          2    0 00010A00 CloseClusterCryptProvider
          3    1 000073D0 ClusAddClusterHealthFault
          4    2 00008690 ClusGetClusterHealthFaults
          5    3 00007D60 ClusRemoveClusterHealthFault
          6    4 000089B0 ClusWorkerCheckTerminate
          7    5 00008820 ClusWorkerCreate
          1    6 00008740 ClusWorkerStart
          8    7 00008B70 ClusWorkerTerminate
          9    8 00008C70 ClusWorkerTerminateEx
         10    9 00008C80 ClusWorkersTerminate
         11    A 000043B0 ClusterClearBackupStateForSharedVolume
         12    B 00010BA0 ClusterDecrypt
         13    C 00010A30 ClusterEncrypt
         14    D 0002F3C0 ClusterEnumTasks
         15    E 00029F40 ClusterFileShareCreate
         16    F 0002BFE0 ClusterFileShareDelete
         17   10 0002B9F0 ClusterFileShareUpdate
         18   11 0002FEF0 ClusterFreeTaskInfo
         19   12 0002FEA0 ClusterFreeTaskList
         20   13 0002F270 ClusterGetTaskNode
         21   14 00004260 ClusterGetVolumeNameForVolumeMountPoint
         22   15 00004240 ClusterGetVolumePathName
         23   16 0002C4D0 ClusterIsClusterDisk
         24   17 00004230 ClusterIsPathOnSharedVolume
         25   18 00004380 ClusterPrepareSharedVolumeForBackup
         26   19 0000F180 ClusterSharedVolumeCheckSnapshotPresence
         27   1A 0000EE80 ClusterSharedVolumeCreateSnapshot
         28   1B 0000F130 ClusterSharedVolumeReleaseSnapshot
         29   1C 0002E0A0 ClusterTaskChangeFromXML
         30   1D 0002DF20 ClusterTaskChangeFromXMLFile
         31   1E 00030B80 ClusterTaskChange_TS_V1
         32   1F 0002D730 ClusterTaskCreateFromXML
         33   20 0002D590 ClusterTaskCreateFromXMLFile
         34   21 00030360 ClusterTaskCreate_TS_V1
         35   22 0002E4C0 ClusterTaskDelete
         36   23 00030F80 ClusterTaskDelete_TS_V1
         37   24 00031270 ClusterTaskExists_TS_V1
         38   25 0002FFC0 ClusterTaskQuery
         39   26 00033FA0 CreateClusterStorageSpacesClustering
         40   27 00033D70 CreateClusterStorageSpacesResourceLocator
         41   28 00033F00 CreateClusterStorageSpacesSubProvider
         42   29 00010D90 FreeClusterCrypt
         43   2A 00005C90 FreeClusterHealthFault
         44   2B 00005D00 FreeClusterHealthFaultArray
         45   2C 00005C40 InitializeClusterHealthFault
         46   2D 00005C70 InitializeClusterHealthFaultArray
         47   2E 00010890 OpenClusterCryptProvider
         48   2F 00001EF0 ResUtilAddUnknownProperties
         49   30 00009000 ResUtilCreateDirectoryTree
         50   31 0000AB30 ResUtilDupGroup
         51   32 00002800 ResUtilDupParameterBlock
         52   33 0000AC30 ResUtilDupResource
         53   34 00004BF0 ResUtilDupString
         54   35 0000A9F0 ResUtilEnumGroups
         55   36 0000AB00 ResUtilEnumGroupsEx
         56   37 00001730 ResUtilEnumPrivateProperties
         57   38 00001580 ResUtilEnumProperties
         58   39 00002EF0 ResUtilEnumResources
         59   3A 00003450 ResUtilEnumResourcesEx
         60   3B 000031F0 ResUtilEnumResourcesEx2
         61   3C 00009120 ResUtilExpandEnvironmentStrings
         62   3D 00002520 ResUtilFindBinaryProperty
