Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\rpcrt4.dll

File Type: DLL

  Section contains the following exports for RPCRT4.dll

    00000000 characteristics
    28D25D35 time date stamp
        0.00 version
        1000 ordinal base
         554 number of functions
         553 number of names

    ordinal hint RVA      name

       1022    0 00059A00 CStdStubBuffer_AddRef
       1023    1 000C89E0 CStdStubBuffer_Connect
       1024    2 000C8A40 CStdStubBuffer_CountRefs
       1025    3 000C8A90 CStdStubBuffer_DebugServerQueryInterface
       1026    4 000C8AF0 CStdStubBuffer_DebugServerRelease
       1027    5 0005FBD0 CStdStubBuffer_Disconnect
       1028    6 00059750 CStdStubBuffer_Invoke
       1029    7 000C8B40 CStdStubBuffer_IsIIDSupported
       1030    8 000615A0 CStdStubBuffer_QueryInterface
       1031    9 00064B00 CreateProxyFromTypeInfo
       1032    A 00065510 CreateStubFromTypeInfo
       1033    B 000AB300 DceErrorInqTextA
       1034    C 000AB390 DceErrorInqTextW
       1035    D 000C8BA0 DllGetClassObject
       1036    E 000C8C10 DllRegisterServer
       1037    F 000597B0 IUnknown_AddRef_Proxy
       1038   10 00059DE0 IUnknown_QueryInterface_Proxy
       1039   11 000597F0 IUnknown_Release_Proxy
       1040   12 00029A40 I_RpcAllocate
       1041   13 00068D80 I_RpcAsyncAbortCall
       1042   14 00029510 I_RpcAsyncSetHandle
       1043   15 000178A0 I_RpcBCacheAllocate
       1044   16 000A9940 I_RpcBCacheFree
       1045   17 000AB620 I_RpcBindingCopy
       1046   18 000AB690 I_RpcBindingCreateNP
       1047   19 000B2130 I_RpcBindingHandleToAsyncHandle
       1048   1A 00058260 I_RpcBindingInqClientTokenAttributes
       1001   1B 00057EA0 I_RpcBindingInqCurrentModifiedId
       1049   1C          I_RpcBindingInqDynamicEndpoint (forwarded to RPCRT4.I_RpcBindingInqDynamicEndpointW)
       1050   1D 000698B0 I_RpcBindingInqDynamicEndpointA
       1051   1E 000396A0 I_RpcBindingInqDynamicEndpointW
       1052   1F 00055250 I_RpcBindingInqLocalClientPID
       1053   20 000B21A0 I_RpcBindingInqMarshalledTargetInfo
       1054   21 0006FC70 I_RpcBindingInqSecurityContext
       1055   22 000AB900 I_RpcBindingInqSecurityContextKeyInfo
       1056   23 00055170 I_RpcBindingInqTransportType
       1057   24 000B2220 I_RpcBindingInqWireIdForSnego
       1058   25 000604D0 I_RpcBindingIsClientLocal
       1059   26 000A9E00 I_RpcBindingIsServerLocal
       1060   27 00067470 I_RpcBindingSetPrivateOption
       1061   28 000B2380 I_RpcBindingToStaticStringBindingW
       1062   29 000AB160 I_RpcCertProcessAndProvision
       1063   2A 0005C770 I_RpcClearMutex
       1064   2B 000A9960 I_RpcCompleteAndFree
       1065   2C 000B2510 I_RpcDeleteMutex
       1066   2D 000AB060 I_RpcEnableWmiTrace
       1067   2E 00054A00 I_RpcExceptionFilter
       1068   2F 000B4140 I_RpcFilterDCOMActivation
       1002   30 000044B0 I_RpcFixTransferSyntax
       1069   31 00063520 I_RpcFree
       1070   32 00059710 I_RpcFreeBuffer
       1071   33 000B42E0 I_RpcFreePipeBuffer
       1072   34 000616D0 I_RpcFreeSystemHandle
       1073   35 00058AD0 I_RpcFreeSystemHandleCollection
       1003   36 000A9B20 I_RpcFwThisIsTheManager
       1074   37 000175F0 I_RpcGetBuffer
       1075   38 00017600 I_RpcGetBufferWithObject
