Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    6A056922 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         482 number of names

    ordinal hint RVA      name

        255    0 001F18E0 AppCompat_RunDLLW
        263    1 0006C610 AssocCreateForClasses
        267    2 001F8780 AssocGetDetailsOfPropKey
        701    3 001FF250 CDefFolderMenu_Create2
         83    4 00200170 CIDLData_CreateFromIDArray
        937    5 00197B60 CStorageItem_GetValidatedStorageItemObject
        268    6 00205630 CheckEscapesW
        269    7 000BB6B0 CommandLineToArgvW
        272    8 00207E70 Control_RunDLL
        273    9 00207E70 Control_RunDLLA
        274    A 00207EF0 Control_RunDLLAsUserW
        275    B 00207F30 Control_RunDLLW
        935    C 00197BA0 CreateStorageItemFromPath_FullTrustCaller
        936    D 00197BC0 CreateStorageItemFromPath_FullTrustCaller_ForPackage
        920    E 00197BE0 CreateStorageItemFromPath_PartialTrustCaller
        921    F 00197C00 CreateStorageItemFromShellItem_FullTrustCaller
        925   10 00024A40 CreateStorageItemFromShellItem_FullTrustCaller_ForPackage
        929   11 00197C20 CreateStorageItemFromShellItem_FullTrustCaller_ForPackage_WithProcessHandle
        931   12 00197C40 CreateStorageItemFromShellItem_FullTrustCaller_UseImplicitFlagsAndPackage
        129   13 0010A060 DAD_AutoScroll
        131   14 000C3F20 DAD_DragEnterEx
         22   15 0021F130 DAD_DragEnterEx2
        132   16 0021F230 DAD_DragLeave
        134   17 0021F270 DAD_DragMove
        136   18 000C3F20 DAD_SetDragImage
        137   19 000C3F20 DAD_ShowDragImage
        276   1A 000A6E00 DllCanUnloadNow
        277   1B 001916C0 DllGetActivationFactory
        278   1C 00033150 DllGetClassObject
        279   1D 00222F10 DllGetVersion
        280   1E 00222FD0 DllInstall
        281   1F 0010A060 DllRegisterServer
        282   20 0010A060 DllUnregisterServer
        283   21 001896A0 DoEnvironmentSubstA
        284   22 00189750 DoEnvironmentSubstW
        285   23 000C0EB0 DragAcceptFiles
        286   24 0018DE20 DragFinish
        287   25 0018DE40 DragQueryFile
        288   26 0018DE40 DragQueryFileA
        289   27 0018DE70 DragQueryFileAorW
        290   28 0018E140 DragQueryFileW
        291   29 0018E310 DragQueryPoint
         64   2A 00223FD0 DriveType
        292   2B 000A7BA0 DuplicateIcon
        293   2C 00189870 ExtractAssociatedIconA
        294   2D 00189960 ExtractAssociatedIconExA
        295   2E 00189A50 ExtractAssociatedIconExW
        296   2F 00189CC0 ExtractAssociatedIconW
        297   30 00189D90 ExtractIconA
        298   31 00189E10 ExtractIconEx
        299   32 00189E10 ExtractIconExA
        300   33 0009D010 ExtractIconExW
        301   34 00189E90 ExtractIconW
        302   35 00231E80 FindExecutableA
        303   36 00231F60 FindExecutableW
        304   37 000D9740 FreeIconList
        305   38 00232A60 GetCurrentProcessExplicitAppUserModelID
         63   39 00235A20 GetFileNameFromBrowse
        919   3A 00197C60 GetSystemPersistedStorageItemList
        154   3B 0023CA00 ILAppendID
         18   3C 0003A250 ILClone
         19   3D 000A6980 ILCloneFirst
         25   3E 0003FF40 ILCombine
        157   3F 0023CC10 ILCreateFromPath
        189   40 0023CAE0 ILCreateFromPathA
        190   41 0023CC10 ILCreateFromPathW
         24   42 0009D940 ILFindChild
         16   43 0003A220 ILFindLastID
