Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\shlwapi.dll

File Type: DLL

  Section contains the following exports for SHLWAPI.dll

    00000000 characteristics
    4392C932 time date stamp
        0.00 version
           1 ordinal base
         930 number of functions
         379 number of names

    ordinal hint RVA      name

        579    0 000069B0 AssocCreate
        584    1 00003AA0 AssocGetPerceivedType
        585    2 000143C0 AssocIsDangerous
        586    3 00014AF0 AssocQueryKeyA
        587    4 000067B0 AssocQueryKeyW
        588    5 00014BF0 AssocQueryStringA
        589    6 00014DA0 AssocQueryStringByKeyA
        590    7 00006890 AssocQueryStringByKeyW
        591    8 000066C0 AssocQueryStringW
        592    9 0000DA40 ChrCmpIA
        593    A 0000DA50 ChrCmpIW
        594    B 000173F0 ColorAdjustLuma
        595    C 00008A10 ColorHLSToRGB
        607    D 00008940 ColorRGBToHLS
        168    E 00006E80 ConnectToConnectionPoint
        569    F 00017530 DelayLoadFailureHook
        608   10 0001D710 DllGetClassObject
        609   11 0001D650 DllGetVersion
        270   12          GUIDFromStringW (forwarded to SHCORE.#200)
         14   13 0000DA60 GetAcceptLanguagesA
         15   14 0000DA70 GetAcceptLanguagesW
        610   15 00006C80 GetMenuPosFromID
        612   16 0000DA80 HashData
        568   17 000105E0 IStream_Copy
        184   18 000105F0 IStream_Read
        512   19 00006A20 IStream_ReadPidl
        596   1A 00001F60 IStream_ReadStr
        213   1B 00010600 IStream_Reset
        214   1C 00010610 IStream_Size
        212   1D 00010630 IStream_Write
        513   1E 00009350 IStream_WritePidl
        597   1F 00010620 IStream_WriteStr
        169   20 00010640 IUnknown_AtomicRelease
        164   21 00007CC0 IUnknown_Exec
        256   22 00010650 IUnknown_GetSite
        172   23 000053B0 IUnknown_GetWindow
        176   24 000094C0 IUnknown_QueryService
        163   25 00019CB0 IUnknown_QueryStatus
        199   26 00007180 IUnknown_Set
        174   27 000021A0 IUnknown_SetSite
        620   28 0000E1B0 IntlStrEqWorkerA
        622   29 0000E1C0 IntlStrEqWorkerW
        623   2A 0000DAD0 IsCharSpaceA
         29   2B 000019E0 IsCharSpaceW
        553   2C 0000DAF0 IsInternetESCEnabled
        437   2D 00009290 IsOS
        377   2E 0001A090 MLLoadLibraryA
        378   2F 0001A0B0 MLLoadLibraryW
          1   30 0000DB00 ParseURLA
          2   31 00008D40 ParseURLW
        624   32 0000DB10 PathAddBackslashA
        625   33 00007C10 PathAddBackslashW
        649   34 0000DB20 PathAddExtensionA
        650   35 0000DB30 PathAddExtensionW
        651   36 0000DB40 PathAppendA
        652   37 0000DB50 PathAppendW
        653   38 00010660 PathBuildRootA
        654   39 00010670 PathBuildRootW
        655   3A 0000DB60 PathCanonicalizeA
        656   3B 0000DB70 PathCanonicalizeW
        657   3C 0000DB80 PathCombineA
        658   3D 0000DB90 PathCombineW
        659   3E 0000DBA0 PathCommonPrefixA
        660   3F 00007B50 PathCommonPrefixW
        661   40 000112B0 PathCompactPathA
        662   41 000115F0 PathCompactPathExA
        663   42 000019F0 PathCompactPathExW
        664   43 00015A10 PathCompactPathW
        665   44 0000DBB0 PathCreateFromUrlA
        666   45 0000DBC0 PathCreateFromUrlAlloc
        667   46 00007750 PathCreateFromUrlW
        668   47 000094A0 PathFileExistsA
        446   48 000052F0 PathFileExistsAndAttributesW
        669   49 00009460 PathFileExistsW
        670   4A 0000DBD0 PathFindExtensionA
