Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\spacebridge.dll

File Type: DLL

  Section contains the following exports for spacebridge.dll

    00000000 characteristics
    D7EB1722 time date stamp
        0.00 version
           1 ordinal base
        1142 number of functions
        1142 number of names

    ordinal hint RVA      name

          1    0 000030D0 DEVICE_LB_PROVISIONING_DESCRIPTOR_Get_AnchorSupported
          2    1 00002BD0 DEVICE_LB_PROVISIONING_DESCRIPTOR_Get_CxxSize
          3    2 00003180 DEVICE_LB_PROVISIONING_DESCRIPTOR_Get_MaxUnmapBlockDescriptorCount
          4    3 00002C00 DEVICE_LB_PROVISIONING_DESCRIPTOR_Get_MaxUnmapLbaCount
          5    4 00002AF0 DEVICE_LB_PROVISIONING_DESCRIPTOR_Get_OptimalUnmapGranularity
          6    5 00003130 DEVICE_LB_PROVISIONING_DESCRIPTOR_Get_Reserved0
          7    6 00003160 DEVICE_LB_PROVISIONING_DESCRIPTOR_Get_Reserved1At
          8    7 00002A50 DEVICE_LB_PROVISIONING_DESCRIPTOR_Get_Size
          9    8 00003070 DEVICE_LB_PROVISIONING_DESCRIPTOR_Get_ThinProvisioningEnabled
         10    9 000030A0 DEVICE_LB_PROVISIONING_DESCRIPTOR_Get_ThinProvisioningReadZeros
         11    A 00002BE0 DEVICE_LB_PROVISIONING_DESCRIPTOR_Get_UnmapGranularityAlignment
         12    B 00003100 DEVICE_LB_PROVISIONING_DESCRIPTOR_Get_UnmapGranularityAlignmentValid
         13    C 00002AB0 DEVICE_LB_PROVISIONING_DESCRIPTOR_Get_Version
         14    D 000030E0 DEVICE_LB_PROVISIONING_DESCRIPTOR_Set_AnchorSupported
         15    E 00003190 DEVICE_LB_PROVISIONING_DESCRIPTOR_Set_MaxUnmapBlockDescriptorCount
         16    F 00002C10 DEVICE_LB_PROVISIONING_DESCRIPTOR_Set_MaxUnmapLbaCount
         17   10 00002B00 DEVICE_LB_PROVISIONING_DESCRIPTOR_Set_OptimalUnmapGranularity
         18   11 00003140 DEVICE_LB_PROVISIONING_DESCRIPTOR_Set_Reserved0
         19   12 00003170 DEVICE_LB_PROVISIONING_DESCRIPTOR_Set_Reserved1At
         20   13 00002A60 DEVICE_LB_PROVISIONING_DESCRIPTOR_Set_Size
         21   14 00003080 DEVICE_LB_PROVISIONING_DESCRIPTOR_Set_ThinProvisioningEnabled
         22   15 000030B0 DEVICE_LB_PROVISIONING_DESCRIPTOR_Set_ThinProvisioningReadZeros
         23   16 00002BF0 DEVICE_LB_PROVISIONING_DESCRIPTOR_Set_UnmapGranularityAlignment
         24   17 00003110 DEVICE_LB_PROVISIONING_DESCRIPTOR_Set_UnmapGranularityAlignmentValid
         25   18 00002AC0 DEVICE_LB_PROVISIONING_DESCRIPTOR_Set_Version
         26   19 00002890 DEVICE_LOCATION_Get_Adapter
         27   1A 00002860 DEVICE_LOCATION_Get_CxxSize
         28   1B 000028B0 DEVICE_LOCATION_Get_Port
         29   1C 00002A50 DEVICE_LOCATION_Get_Slot
         30   1D 00002AB0 DEVICE_LOCATION_Get_Socket
         31   1E 000028A0 DEVICE_LOCATION_Set_Adapter
         32   1F 000028C0 DEVICE_LOCATION_Set_Port
         33   20 00002A60 DEVICE_LOCATION_Set_Slot
         34   21 00002AC0 DEVICE_LOCATION_Set_Socket
