Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\tapi32.dll

File Type: DLL

  Section contains the following exports for TAPI32.dll

    00000000 characteristics
    EEF0B81D time date stamp
        0.00 version
           1 ordinal base
         278 number of functions
         278 number of names

    ordinal hint RVA      name

          1    0 0000EEC0 GetTapi16CallbackMsg
          2    1 000103F0 LAddrParamsInited
          3    2 000104D0 LOpenDialAsst
          4    3 0001EB90 LocWizardDlgProc
          5    4 00010790 MMCAddProvider
          6    5 00010830 MMCConfigProvider
          7    6 000108E0 MMCGetAvailableProviders
          8    7 000119D0 MMCGetDeviceFlags
          9    8 000109D0 MMCGetLineInfo
         10    9 00010AC0 MMCGetLineStatus
         11    A 00010BB0 MMCGetPhoneInfo
         12    B 00010CA0 MMCGetPhoneStatus
         13    C 00010D90 MMCGetProviderList
         14    D 00010E20 MMCGetServerConfig
         15    E 000110F0 MMCInitialize
         16    F 00011610 MMCRemoveProvider
         17   10 000116C0 MMCSetLineInfo
         18   11 000117B0 MMCSetPhoneInfo
         19   12 000118A0 MMCSetServerConfig
         20   13 00011AE0 MMCShutdown
         21   14 000019A0 NonAsyncEventThread
         22   15 0000F090 TAPIWndProc
         23   16 000101D0 TUISPIDLLCallback
         24   17 0001B0A0 internalConfig
         25   18 00020680 internalCreateDefLocation
         26   19 000206F0 internalNewLocationW
         27   1A 000105C0 internalPerformance
         28   1B 000209A0 internalRemoveLocation
         29   1C 00020BB0 internalRenameLocationW
         30   1D 00004080 lineAccept
         31   1E 00004370 lineAddProvider
         32   1F 00004120 lineAddProviderA
         33   20 00004210 lineAddProviderW
         34   21 00004380 lineAddToConference
         35   22 00004410 lineAgentSpecific
         36   23 00004520 lineAnswer
         37   24 00004750 lineBlindTransfer
         38   25 000046A0 lineBlindTransferA
         39   26 000045C0 lineBlindTransferW
         40   27 00004760 lineClose
         41   28 000048B0 lineCompleteCall
         42   29 000049B0 lineCompleteTransfer
         43   2A 00004C10 lineConfigDialog
         44   2B 00004B90 lineConfigDialogA
         45   2C 00004E30 lineConfigDialogEdit
         46   2D 00004D90 lineConfigDialogEditA
         47   2E 00004C20 lineConfigDialogEditW
         48   2F 00004AB0 lineConfigDialogW
         49   30 00004E40 lineConfigProvider
         50   31 00004FD0 lineCreateAgentA
         51   32 00005200 lineCreateAgentSessionA
         52   33 000050B0 lineCreateAgentSessionW
         53   34 00004E70 lineCreateAgentW
         54   35 000052A0 lineDeallocateCall
         55   36 00005420 lineDevSpecific
         56   37 00005530 lineDevSpecificFeature
         57   38 000057B0 lineDial
         58   39 00005710 lineDialA
         59   3A 00005630 lineDialW
         60   3B 000057C0 lineDrop
         61   3C 00005AE0 lineForward
         62   3D 000059A0 lineForwardA
         63   3E 00005860 lineForwardW
         64   3F 00005F90 lineGatherDigits
         65   40 00005DF0 lineGatherDigitsA
         66   41 00005BB0 lineGatherDigitsW
         67   42 00006140 lineGenerateDigits
         68   43 00006040 lineGenerateDigitsA
         69   44 00005FA0 lineGenerateDigitsW
         70   45 00006150 lineGenerateTone
         71   46 00006430 lineGetAddressCaps
         72   47 000062C0 lineGetAddressCapsA
         73   48 00006210 lineGetAddressCapsW
         74   49 000065E0 lineGetAddressID
         75   4A 000064D0 lineGetAddressIDA
         76   4B 00006440 lineGetAddressIDW
         77   4C 00006720 lineGetAddressStatus
         78   4D 00006670 lineGetAddressStatusA
