Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ucrtbase.dll

File Type: DLL

  Section contains the following exports for ucrtbase.dll

    00000000 characteristics
    490B0AEB time date stamp
        0.00 version
           1 ordinal base
        2483 number of functions
        2483 number of names

    ordinal hint RVA      name

          1    0 00088070 _Cbuild
          2    1 00087CF0 _Cmulcc
          3    2 00087D40 _Cmulcr
          4    3 0003C200 _CreateFrameInfo
          5    4 0003C4F0 _CxxThrowException
          6    5 000706D0 _Exit
          7    6 00088130 _FCbuild
          8    7 00087E50 _FCmulcc
          9    8 00087EB0 _FCmulcr
         10    9 0003C240 _FindAndUnlinkFrame
         11    A 0003C2A0 _GetImageBase
         12    B 0003C2C0 _GetThrowImageBase
         13    C 000104A0 _Getdays
         14    D 00010490 _Getmonths
         15    E 00020FB0 _Gettnames
         16    F 0003C650 _IsExceptionObjectToBeDestroyed
         17   10 00088070 _LCbuild
         18   11 00087CF0 _LCmulcc
         19   12 00087D40 _LCmulcr
         20   13 0003C2E0 _SetImageBase
         21   14 0003C300 _SetThrowImageBase
         22   15 0003C690 _SetWinRTOutOfMemoryExceptionCallback
         23   16 000A5B80 _Strftime
         24   17 00012E40 _W_Getdays
         25   18 00012C90 _W_Getmonths
         26   19 0000D490 _W_Gettnames
         27   1A 000A70B0 _Wcsftime
         28   1B 0003C6A0 __AdjustPointer
         29   1C 0003D360 __BuildCatchObject
         30   1D 0003D430 __BuildCatchObjectHelper
         31   1E 0003DD70 __C_specific_handler
         32   1F 0003DF90 __C_specific_handler_noexcept
         33   20 0003DFD0 __CxxDetectRethrow
         34   21 0003E020 __CxxExceptionFilter
         35   22 0003C450 __CxxFrameHandler
         36   23 0003C450 __CxxFrameHandler2
         37   24 0003C460 __CxxFrameHandler3
         38   25 0003E220 __CxxQueryExceptionSize
         39   26 0003E230 __CxxRegisterExceptionObject
         40   27 0003E2F0 __CxxUnregisterExceptionObject
         41   28 0003C5C0 __DestructExceptionObject
         42   29 0003C6D0 __FrameUnwindFilter
         43   2A 0003C720 __GetPlatformExceptionInfo
         44   2B 0003E450 __NLG_Dispatch2
         45   2C 0003E460 __NLG_Return2
         46   2D 0003EAB0 __RTCastToVoid
         47   2E 0003EB20 __RTDynamicCast
         48   2F 0003EC90 __RTtypeid
         49   30 0003DC20 __TypeMatch
         50   31 00011600 ___lc_codepage_func
         51   32 00010F70 ___lc_collate_cp_func
         52   33 000116D0 ___lc_locale_name_func
         53   34 00011530 ___mb_cur_max_func
         54   35 0006C250 ___mb_cur_max_l_func
         55   36 0001FE70 __acrt_iob_func
         56   37 00096330 __conio_common_vcprintf
         57   38 00096340 __conio_common_vcprintf_p
         58   39 00096350 __conio_common_vcprintf_s
         59   3A 00099DF0 __conio_common_vcscanf
         60   3B 00096360 __conio_common_vcwprintf
         61   3C 00096370 __conio_common_vcwprintf_p
         62   3D 00096380 __conio_common_vcwprintf_s
         63   3E 00099E00 __conio_common_vcwscanf
         64   3F 0003C790 __current_exception
         65   40 0003C7B0 __current_exception_context
         66   41 000A5EB0 __daylight
         67   42 00016E10 __dcrt_get_wide_environment_from_os
         68   43 000EC420 __dcrt_initial_narrow_environment
         69   44 0001F7C0 __doserrno
         70   45 000A5ED0 __dstbias
         71   46 0008B380 __fpe_flt_rounds
         72   47 0006D810 __fpecode
         73   48 0006C3F0 __initialize_lconv_for_unsigned_char
