Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ucrtbase_enclave.dll

File Type: DLL

  Section contains the following exports for ucrtbase_enclave.dll

    00000000 characteristics
    8B7FEE4D time date stamp
        0.00 version
           1 ordinal base
         785 number of functions
         785 number of names

    ordinal hint RVA      name

          1    0 00026F20 _Cbuild
          2    1 00026BB0 _Cmulcc
          3    2 00026C00 _Cmulcr
          4    3 0004A0E0 _CreateFrameInfo
          5    4 0004A3D0 _CxxThrowException
          6    5 000137C0 _Exit
          7    6 00026FE0 _FCbuild
          8    7 00026D00 _FCmulcc
          9    8 00026D60 _FCmulcr
         10    9 0004A120 _FindAndUnlinkFrame
         11    A 0004A180 _GetImageBase
         12    B 0004A1A0 _GetThrowImageBase
         13    C 0004A530 _IsExceptionObjectToBeDestroyed
         14    D 00026F20 _LCbuild
         15    E 00026BB0 _LCmulcc
         16    F 00026C00 _LCmulcr
         17   10 0004A1C0 _SetImageBase
         18   11 0004A1E0 _SetThrowImageBase
         19   12 0004A570 _SetWinRTOutOfMemoryExceptionCallback
         20   13 0004A580 __AdjustPointer
         21   14 0004B230 __BuildCatchObject
         22   15 0004B300 __BuildCatchObjectHelper
         23   16 0004BC40 __C_specific_handler
         24   17 0004BE60 __C_specific_handler_noexcept
         25   18 0004BEA0 __CxxDetectRethrow
         26   19 0004BEF0 __CxxExceptionFilter
         27   1A 0004A330 __CxxFrameHandler
         28   1B 0004A330 __CxxFrameHandler2
         29   1C 0004A340 __CxxFrameHandler3
         30   1D 0004C0F0 __CxxQueryExceptionSize
         31   1E 0004C100 __CxxRegisterExceptionObject
         32   1F 0004C1C0 __CxxUnregisterExceptionObject
         33   20 0004A4A0 __DestructExceptionObject
         34   21 0004A5B0 __FrameUnwindFilter
         35   22 0004A600 __GetPlatformExceptionInfo
         36   23 0004C320 __NLG_Dispatch2
         37   24 0004C330 __NLG_Return2
         38   25 0004C980 __RTCastToVoid
         39   26 0004C9F0 __RTDynamicCast
         40   27 0004CB60 __RTtypeid
         41   28 0004BAF0 __TypeMatch
         42   29 00011320 ___lc_codepage_func
         43   2A 00011360 ___lc_collate_cp_func
         44   2B 000113A0 ___lc_locale_name_func
         45   2C 000112C0 ___mb_cur_max_func
         46   2D 00011300 ___mb_cur_max_l_func
         47   2E 0004A670 __current_exception
         48   2F 0004A690 __current_exception_context
         49   30 00012450 __doserrno
         50   31 0002A250 __fpe_flt_rounds
         51   32 00012A80 __fpecode
         52   33 000550B0 __intrinsic_setjmp
         53   34 00055170 __intrinsic_setjmpex
         54   35 0000EE50 __isascii
         55   36 0000EEB0 __iscsym
         56   37 0000EE80 __iscsymf
         57   38 0000F370 __iswcsym
         58   39 0000F3C0 __iswcsymf
         59   3A 00011280 __pctype_func
         60   3B 0004A6B0 __processing_throw
         61   3C 00011270 __pwctype_func
         62   3D 00012AA0 __pxcptinfoptrs
         63   3E 00054B60 __report_gsfailure
         64   3F 0002E6F0 __setusermatherr
         65   40 0004CC20 __std_exception_copy
         66   41 0004CCC0 __std_exception_destroy
         67   42 0004A6D0 __std_terminate
         68   43 0004CD00 __std_type_info_compare
         69   44 0004CD30 __std_type_info_destroy_list
         70   45 0004CD60 __std_type_info_hash
         71   46 0004CDB0 __std_type_info_name
         72   47 0001A0E0 __stdio_common_vsnprintf_s
         73   48 0001A0F0 __stdio_common_vsnwprintf_s
