Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    5960D576 time date stamp
        0.00 version
        1502 ordinal base
        1215 number of functions
        1007 number of names

    ordinal hint RVA      name

       1503    0 0002CE90 ActivateKeyboardLayout
       1504    1 0002D5C0 AddClipboardFormatListener
       1505    2 0007DB30 AdjustWindowRect
       1506    3 0000E2B0 AdjustWindowRectEx
       1507    4 000143B0 AdjustWindowRectExForDpi
       1508    5 00084420 AlignRects
       1509    6 0007DBA0 AllowForegroundActivation
       1510    7 0002BDD0 AllowSetForegroundWindow
       1511    8 00078A00 AnimateWindow
       1512    9 000796B0 AnyPopup
       1513    A 00081E70 AppendMenuA
       1514    B 000297F0 AppendMenuW
       1515    C 0001C800 AreDpiAwarenessContextsEqual
       1516    D 0007DBC0 ArrangeIconicWindows
       1517    E 000337E0 AttachThreadInput
       1518    F 00029E30 BeginDeferWindowPos
       1519   10 00033800 BeginPaint
       1520   11 00033810 BlockInput
       1521   12 000311F0 BringWindowToTop
       1522   13 00081EC0 BroadcastSystemMessage
       1523   14 00081EC0 BroadcastSystemMessageA
       1524   15 00081EF0 BroadcastSystemMessageExA
       1525   16 0007F040 BroadcastSystemMessageExW
       1526   17 00003F00 BroadcastSystemMessageW
       1527   18 00032860 BuildReasonArray
       1528   19 00033830 CalcMenuBar
       1529   1A 00033840 CalculatePopupWindowPosition
       1530   1B 0007A930 CallMsgFilter
       1531   1C 0007A930 CallMsgFilterA
       1532   1D 00007290 CallMsgFilterW
       1533   1E 0000DE50 CallNextHookEx
       1534   1F 0004DBA0 CallWindowProcA
       1535   20 0000C2C0 CallWindowProcW
       1536   21 00054050 CancelShutdown
       1537   22 0007DBE0 CascadeChildWindows
       1538   23 0006F4A0 CascadeWindows
       1539   24 0007BD30 ChangeClipboardChain
       1540   25 0007AA40 ChangeDisplaySettingsA
       1541   26 00031430 ChangeDisplaySettingsExA
       1542   27 00027B80 ChangeDisplaySettingsExW
       1543   28 00080660 ChangeDisplaySettingsW
       1544   29 0006F780 ChangeMenuA
       1545   2A 0006F820 ChangeMenuW
       1546   2B 0002B130 ChangeWindowMessageFilter
       1547   2C 00033860 ChangeWindowMessageFilterEx
       1548   2D 00002010 CharLowerA
       1549   2E 0007BD50 CharLowerBuffA
       1555   2F 00032390 CharLowerBuffW
       1556   30 0002C4F0 CharLowerW
       1557   31 0002B120 CharNextA
       1558   32 0007BD60 CharNextExA
       1559   33 0002BDC0 CharNextW
       1560   34 00002110 CharPrevA
       1561   35 0007BD70 CharPrevExA
       1562   36 0007BD80 CharPrevW
       1563   37 00028D90 CharToOemA
       1564   38 000733A0 CharToOemBuffA
       1565   39 000733F0 CharToOemBuffW
       1566   3A 00073450 CharToOemW
       1567   3B 0002A2A0 CharUpperA
       1568   3C 0007BD90 CharUpperBuffA
       1569   3D 00001670 CharUpperBuffW
       1570   3E 00028350 CharUpperW
       1571   3F 0002D640 CheckBannedOneCoreTransformApi
       1572   40 000218E0 CheckDBCSEnabledExt
       1573   41 00021A60 CheckDlgButton
       1574   42 0002C470 CheckMenuItem
       1575   43 00001AA0 CheckMenuRadioItem
       1576   44 00033870 CheckProcessForClipboardAccess
       1577   45 00033880 CheckProcessSession
       1578   46 00029D90 CheckRadioButton
       1579   47 00033890 CheckWindowThreadDesktop
