Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\uxlib.dll

File Type: DLL

  Section contains the following exports for UXLIB.DLL

    00000000 characteristics
    2B8FF314 time date stamp
        0.00 version
           1 ordinal base
         414 number of functions
         414 number of names

    ordinal hint RVA      name

          1    0 00002810 ??0?$CSimpleArray@PEAU_BLOCKED_REASON@@V?$CSimpleArrayEqualHelper@PEAU_BLOCKED_REASON@@@ATL@@@ATL@@QEAA@AEBV01@@Z
          2    1 000024D0 ??0?$CSimpleArray@PEAU_BLOCKED_REASON@@V?$CSimpleArrayEqualHelper@PEAU_BLOCKED_REASON@@@ATL@@@ATL@@QEAA@XZ
          3    2 00002810 ??0?$CSimpleArray@PEAVCLocale@@V?$CSimpleArrayEqualHelper@PEAVCLocale@@@ATL@@@ATL@@QEAA@AEBV01@@Z
          4    3 000024D0 ??0?$CSimpleArray@PEAVCLocale@@V?$CSimpleArrayEqualHelper@PEAVCLocale@@@ATL@@@ATL@@QEAA@XZ
          5    4 00002E10 ??0?$CSimpleArray@VCDriverItem@@V?$CSimpleArrayEqualHelper@VCDriverItem@@@ATL@@@ATL@@QEAA@AEBV01@@Z
          6    5 000024D0 ??0?$CSimpleArray@VCDriverItem@@V?$CSimpleArrayEqualHelper@VCDriverItem@@@ATL@@@ATL@@QEAA@XZ
          7    6 00002430 ??0?$CSimpleArray@VCLanguageItem@@V?$CSimpleArrayEqualHelper@VCLanguageItem@@@ATL@@@ATL@@QEAA@AEBV01@@Z
          8    7 000024D0 ??0?$CSimpleArray@VCLanguageItem@@V?$CSimpleArrayEqualHelper@VCLanguageItem@@@ATL@@@ATL@@QEAA@XZ
          9    8 00005720 ??0?$CSimpleStringT@G$0A@@ATL@@QEAA@AEBV01@@Z
         10    9 00005720 ??0?$CSimpleStringT@G$0A@@ATL@@QEAA@AEBV?$CSimpleStringT@G$00@1@@Z
         11    A 00005790 ??0?$CSimpleStringT@G$0A@@ATL@@QEAA@PEAUIAtlStringMgr@1@@Z
         12    B 00006500 ??0?$CSimpleStringT@G$0A@@ATL@@QEAA@PEBGHPEAUIAtlStringMgr@1@@Z
         13    C 000065C0 ??0?$CSimpleStringT@G$0A@@ATL@@QEAA@PEBGPEAUIAtlStringMgr@1@@Z
         14    D 00006790 ??0?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAA@AEBUtagVARIANT@@@Z
         15    E 000066D0 ??0?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAA@AEBUtagVARIANT@@PEAUIAtlStringMgr@1@@Z
         16    F 00005720 ??0?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAA@AEBV01@@Z
         17   10 000053B0 ??0?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAA@DH@Z
         18   11 000051B0 ??0?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAA@GH@Z
         19   12 00005790 ??0?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAA@PEAUIAtlStringMgr@1@@Z
