Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wbemcomn.dll

File Type: DLL

  Section contains the following exports for wbemcomn.dll

    00000000 characteristics
    264DE62A time date stamp
        0.00 version
           1 ordinal base
        1397 number of functions
        1397 number of names

    ordinal hint RVA      name

          1    0 0002DCC0 ??0?$CLockableFlexArray@VCStaticCritSec@@@@QEAA@$$QEAV0@@Z
          2    1 0002DCC0 ??0?$CLockableFlexArray@VCStaticCritSec@@@@QEAA@AEAV0@@Z
          3    2 0002DD30 ??0?$CLockableFlexArray@VCStaticCritSec@@@@QEAA@XZ
          4    3 00033C60 ??0?$SZLess@PEBG@@QEAA@AEBU0@@Z
          5    4 00033C60 ??0?$SZLess@PEBG@@QEAA@XZ
          6    5 00023A70 ??0C9XAce@@QEAA@AEBV0@@Z
          7    6 00039490 ??0C9XAce@@QEAA@KKKPEAG@Z
          8    7 00023AD0 ??0C9XAce@@QEAA@XZ
          9    8 000322B0 ??0CAbstractQl1Parser@@QEAA@AEBV0@@Z
         10    9 0000B8D0 ??0CAbstractQl1Parser@@QEAA@PEAVCGenLexSource@@@Z
         11    A 00022960 ??0CArena@@QEAA@$$QEAV0@@Z
         12    B 00022960 ??0CArena@@QEAA@AEBV0@@Z
         13    C 00022960 ??0CArena@@QEAA@XZ
         14    D 00023B20 ??0CBaseAce@@QEAA@AEBV0@@Z
         15    E 00023B20 ??0CBaseAce@@QEAA@XZ
         16    F 00041F90 ??0CBasicUnloadInstruction@@IEAA@XZ
         17   10 00042000 ??0CBasicUnloadInstruction@@QEAA@AEBV0@@Z
         18   11 00011350 ??0CBasicUnloadInstruction@@QEAA@VCWbemInterval@@@Z
         19   12 00022A30 ??0CBuffer@@QEAA@AEBV0@@Z
         20   13 00013200 ??0CBuffer@@QEAA@PEAEKH@Z
         21   14 00011080 ??0CCheckedInCritSec@@QEAA@PEAVCCritSec@@@Z
         22   15 00013230 ??0CCircularQueue@@QEAA@XZ
         23   16 00012930 ??0CClientOpsNode@@QEAA@XZ
         24   17 0002A340 ??0CContainerControl@@QEAA@$$QEAV0@@Z
         25   18 0002A340 ??0CContainerControl@@QEAA@AEBV0@@Z
         26   19 0002A360 ??0CContainerControl@@QEAA@PEAUIUnknown@@@Z
         27   1A 000113F0 ??0CCritSec@@QEAA@XZ
         28   1B 00024A60 ??0CDMTFParser@@QEAA@PEBG@Z
         29   1C 000025B0 ??0CDatePart@@QEAA@XZ
         30   1D 00025460 ??0CDateTimeParser@@IEAA@XZ
         31   1E 000254C0 ??0CDateTimeParser@@QEAA@PEBG@Z
         32   1F 00023620 ??0CEnterWbemCriticalSection@@QEAA@PEAVCWbemCriticalSection@@K@Z
         33   20 0002A380 ??0CEventLog@@QEAA@AEBV0@@Z
         34   21 0002A420 ??0CEventLog@@QEAA@PEBGAEBU_GUID@@K@Z
         35   22 0002A550 ??0CEventLogRecord@@QEAA@AEAV0@@Z
         36   23 0002A5C0 ??0CEventLogRecord@@QEAA@GAEBU_EVENT_DESCRIPTOR@@VCInsertionString@@111111111@Z
         37   24 0002C9D0 ??0CExecQueue@@QEAA@AEAV0@@Z
         38   25 0002CB30 ??0CExecQueue@@QEAA@XZ
         39   26 0002CC30 ??0CExecRequest@@QEAA@AEBV0@@Z
         40   27 00014640 ??0CExecRequest@@QEAA@XZ
