Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wdscore.dll

File Type: DLL

  Section contains the following exports for WDSCORE.dll

    00000000 characteristics
    BC74133B time date stamp
        0.00 version
           1 ordinal base
         161 number of functions
         161 number of names

    ordinal hint RVA      name

          1    0 0000F900 ??0?$CDynamicArray@EPEAE@@QEAA@_K@Z
          2    1 0000F900 ??0?$CDynamicArray@EPEAUSKey@@@@QEAA@_K@Z
          3    2 0000F900 ??0?$CDynamicArray@EPEAUSValue@@@@QEAA@_K@Z
          4    3 0000F900 ??0?$CDynamicArray@GPEAG@@QEAA@_K@Z
          5    4 0000F900 ??0?$CDynamicArray@PEAUSEnumBinContext@@PEAPEAU1@@@QEAA@_K@Z
          6    5 0000F900 ??0?$CDynamicArray@USKeeperEntry@CBlackboardFactory@@PEAU12@@@QEAA@_K@Z
          7    6 0000F900 ??0?$CDynamicArray@_KPEA_K@@QEAA@_K@Z
          8    7 0000FA00 ??1?$CDynamicArray@EPEAE@@QEAA@XZ
          9    8 0000FA00 ??1?$CDynamicArray@EPEAUSKey@@@@QEAA@XZ
         10    9 0000FA00 ??1?$CDynamicArray@EPEAUSValue@@@@QEAA@XZ
         11    A 0000FA00 ??1?$CDynamicArray@GPEAG@@QEAA@XZ
         12    B 0000FA00 ??1?$CDynamicArray@PEAUSEnumBinContext@@PEAPEAU1@@@QEAA@XZ
         13    C 0000FA00 ??1?$CDynamicArray@USKeeperEntry@CBlackboardFactory@@PEAU12@@@QEAA@XZ
         14    D 0000FA00 ??1?$CDynamicArray@_KPEA_K@@QEAA@XZ
         15    E 0000FB70 ??4?$CDynamicArray@EPEAE@@QEAAAEAV0@AEBV0@@Z
         16    F 0000FB70 ??4?$CDynamicArray@EPEAUSKey@@@@QEAAAEAV0@AEBV0@@Z
         17   10 0000FB70 ??4?$CDynamicArray@EPEAUSValue@@@@QEAAAEAV0@AEBV0@@Z
         18   11 0000FB70 ??4?$CDynamicArray@GPEAG@@QEAAAEAV0@AEBV0@@Z
         19   12 0000FB70 ??4?$CDynamicArray@PEAUSEnumBinContext@@PEAPEAU1@@@QEAAAEAV0@AEBV0@@Z
         20   13 0000FB70 ??4?$CDynamicArray@USKeeperEntry@CBlackboardFactory@@PEAU12@@@QEAAAEAV0@AEBV0@@Z
         21   14 0000FB70 ??4?$CDynamicArray@_KPEA_K@@QEAAAEAV0@AEBV0@@Z
         22   15 0000FB90 ??A?$CDynamicArray@PEAUSEnumBinContext@@PEAPEAU1@@@QEAAAEAPEAUSEnumBinContext@@_K@Z
         23   16 0000FB90 ??A?$CDynamicArray@_KPEA_K@@QEAAAEA_K_K@Z
         24   17 0000FBA0 ??B?$CDynamicArray@EPEAUSKey@@@@QEBAPEAUSKey@@XZ
         25   18 0000FBA0 ??B?$CDynamicArray@EPEAUSValue@@@@QEBAPEAUSValue@@XZ
         26   19 0000FBA0 ??B?$CDynamicArray@GPEAG@@QEBAPEAGXZ
         27   1A 0000FBA0 ??C?$CDynamicArray@EPEAUSKey@@@@QEBAPEAUSKey@@XZ
         28   1B 0000FBA0 ??C?$CDynamicArray@EPEAUSValue@@@@QEBAPEAUSValue@@XZ
         29   1C 0000FBB0 ??_F?$CDynamicArray@EPEAE@@QEAAXXZ
         30   1D 0000FBB0 ??_F?$CDynamicArray@EPEAUSKey@@@@QEAAXXZ
