Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wer.dll

File Type: DLL

  Section contains the following exports for wer.dll

    00000000 characteristics
    857E5A6D time date stamp
        0.00 version
           1 ordinal base
         145 number of functions
         145 number of names

    ordinal hint RVA      name

         96    0 00043710 CloseThreadWaitChainSession
         97    1 000437A0 GetThreadWaitChain
         98    2 000439A0 OpenThreadWaitChainSession
         99    3 00043AC0 RegisterWaitChainCOMCallback
        100    4 000449E0 WerAddExcludedApplication
        101    5 00050880 WerFreeString
        102    6 00044BD0 WerRemoveExcludedApplication
        103    7 00044D80 WerReportAddDump
        104    8 00044F90 WerReportAddFile
        105    9 00022AA0 WerReportCloseHandle
        106    A 000166F0 WerReportCreate
        107    B 00015630 WerReportSetParameter
        108    C 00045100 WerReportSetUIOption
        109    D 0001D300 WerReportSubmit
        110    E 00050890 WerStoreClose
        111    F 00050920 WerStoreGetFirstReportKey
        112   10 00050A70 WerStoreGetNextReportKey
        113   11 00050C40 WerStoreGetReportCount
        114   12 00050C50 WerStoreGetSizeOnDisk
        115   13 00050CF0 WerStoreOpen
        116   14 00050EE0 WerStorePurge
        117   15 000511D0 WerStoreQueryReportMetadataV1
        118   16 000515B0 WerStoreQueryReportMetadataV2
        119   17 00051A30 WerStoreQueryReportMetadataV3
        120   18 00051EA0 WerStoreUploadReport
          1   19 00044320 WerSysprepCleanup
          2   1A 00044440 WerSysprepGeneralize
          3   1B 000445C0 WerUnattendedSetup
          4   1C 00047E00 WerpAddAppCompatData
        121   1D 00052180 WerpAddFile
        122   1E 00052260 WerpAddFileBuffer
        123   1F 00052360 WerpAddFileCallback
          5   20 00048560 WerpAddIfRegisteredForAppLocalDump
          6   21 00048700 WerpAddMemoryBlock
          7   22 000488E0 WerpAddRegisteredDataToReport
          8   23 00048C50 WerpAddRegisteredDumpsToReport
          9   24 000056C0 WerpAddRegisteredMetadataToReport
        124   25 00052460 WerpAddTerminationReason
         10   26 00048E10 WerpArchiveReport
        125   27 00055060 WerpAuxmdDumpProcessImages
        126   28 00055430 WerpAuxmdDumpRegisteredBlocks
        127   29 00055580 WerpAuxmdFree
        128   2A 00055630 WerpAuxmdFreeCopyBuffer
        129   2B 00055670 WerpAuxmdHashVaRanges
        130   2C 00055890 WerpAuxmdInitialize
        131   2D 000559C0 WerpAuxmdMapFile
         11   2E 00049120 WerpCancelUpload
         12   2F 000491C0 WerpCleanWer
         13   30 00049510 WerpCloseStore
        132   31 00052600 WerpCreateIntegratorReportId
         14   32 000495A0 WerpCreateMachineStore
         15   33 00049730 WerpDeleteReport
         16   34 000497A0 WerpDestroyWerString
         17   35 000497F0 WerpEnumerateStoreNext
         18   36 000498C0 WerpEnumerateStoreStart
        133   37 000526A0 WerpExtractReportFiles
         19   38 00052FD0 WerpFlushImageCache
         20   39 00049920 WerpForceDeferredCollection
        134   3A 00050880 WerpFreeString
         21   3B 00049A50 WerpFreeUnmappedVaRanges
         22   3C 00049D20 WerpGetAADTenantInfo
         23   3D 00049D70 WerpGetBucketId
         24   3E 00049EC0 WerpGetDynamicParameter
         25   3F 00049FD0 WerpGetEventType
         26   40 0004A050 WerpGetExtendedDiagData
         27   41 0004A300 WerpGetFileByIndex
         28   42 0004A420 WerpGetFilePathByIndex
        135   43 00052750 WerpGetIntegratorReportId
         29   44 0004A500 WerpGetLegacyBucketId
