Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\win32u.dll

File Type: DLL

  Section contains the following exports for win32u.dll

    00000000 characteristics
    FF141DBB time date stamp
        0.00 version
           1 ordinal base
        1243 number of functions
        1243 number of names

    ordinal hint RVA      name

          1    0 000032D0 NtBindCompositionSurface
          2    1 000032F0 NtCloseCompositionInputSink
          3    2 00003310 NtCompositionInputThread
          4    3 00003330 NtCompositionSetDropTarget
          5    4 00003350 NtConfigureInputSpace
          6    5 00003370 NtCreateCompositionInputSink
          7    6 00003390 NtCreateCompositionSurfaceHandle
          8    7 000033B0 NtCreateImplicitCompositionInputSink
          9    8 000033D0 NtDCompositionAddCrossDeviceVisualChild
         10    9 000033F0 NtDCompositionBeginFrame
         11    A 00003410 NtDCompositionCommitChannel
         12    B 00003430 NtDCompositionCommitSynchronizationObject
         13    C 00003450 NtDCompositionConfirmFrame
         14    D 00003470 NtDCompositionConnectPipe
         15    E 00003490 NtDCompositionCreateAndBindSharedSection
         16    F 000034B0 NtDCompositionCreateChannel
         17   10 000034D0 NtDCompositionCreateConnection
         18   11 000034F0 NtDCompositionCreateDwmChannel
         19   12 00003510 NtDCompositionCreateSharedVisualHandle
         20   13 00003530 NtDCompositionCreateSynchronizationObject
         21   14 00003550 NtDCompositionDestroyChannel
         22   15 00003570 NtDCompositionDestroyConnection
         23   16 00003590 NtDCompositionDiscardFrame
         24   17 000035B0 NtDCompositionDuplicateHandleToProcess
         25   18 000035D0 NtDCompositionDuplicateSwapchainHandleToDwm
         26   19 000035F0 NtDCompositionEnableMMCSS
         27   1A 00003610 NtDCompositionGetBatchId
         28   1B 00003630 NtDCompositionGetChannels
         29   1C 00003650 NtDCompositionGetConnectionBatch
         30   1D 00003670 NtDCompositionGetDeletedResources
         31   1E 00003690 NtDCompositionGetFrameLegacyTokens
         32   1F 000036B0 NtDCompositionGetFrameStatistics
         33   20 000036D0 NtDCompositionGetFrameSurfaceUpdates
         34   21 000036F0 NtDCompositionGetMaterialProperty
         35   22 00003710 NtDCompositionProcessChannelBatchBuffer
         36   23 00003730 NtDCompositionReferenceSharedResourceOnDwmChannel
         37   24 00003750 NtDCompositionRegisterThumbnailVisual
         38   25 00003770 NtDCompositionRegisterVirtualDesktopVisual
         39   26 00003790 NtDCompositionReleaseAllResources
         40   27 000037B0 NtDCompositionRemoveCrossDeviceVisualChild
         41   28 000037D0 NtDCompositionRetireFrame
         42   29 000037F0 NtDCompositionSetChannelCommitCompletionEvent
         43   2A 00003810 NtDCompositionSetChannelConnectionId
         44   2B 00003830 NtDCompositionSetChildRootVisual
         45   2C 00003850 NtDCompositionSetDebugCounter
         46   2D 00003870 NtDCompositionSetMaterialProperty
         47   2E 00003890 NtDCompositionSubmitDWMBatch
         48   2F 000038B0 NtDCompositionSuspendAnimations
         49   30 000038D0 NtDCompositionSynchronize
         50   31 000038F0 NtDCompositionTelemetryAnimationScenarioBegin
         51   32 00003910 NtDCompositionTelemetryAnimationScenarioReference
         52   33 00003930 NtDCompositionTelemetryAnimationScenarioUnreference
         53   34 00003950 NtDCompositionTelemetrySetApplicationId
         54   35 00003970 NtDCompositionTelemetryTouchInteractionBegin
         55   36 00003990 NtDCompositionTelemetryTouchInteractionEnd
         56   37 000039B0 NtDCompositionTelemetryTouchInteractionUpdate
         57   38 000039D0 NtDCompositionUpdatePointerCapture
