Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wininet.dll

File Type: DLL

  Section contains the following exports for WININET.dll

    00000000 characteristics
    EF02D3F2 time date stamp
        0.00 version
         101 ordinal base
         326 number of functions
         298 number of names

    ordinal hint RVA      name

        107    0 00005A40 AppCacheCheckManifest
        113    1 0006A820 AppCacheCloseHandle
        114    2 001A3530 AppCacheCreateAndCommitFile
        115    3 001A35D0 AppCacheDeleteGroup
        119    4 001A3660 AppCacheDeleteIEGroup
        124    5 0006A990 AppCacheDuplicateHandle
        125    6 0001ACD0 AppCacheFinalize
        126    7 001A36F0 AppCacheFreeDownloadList
        127    8 00017B40 AppCacheFreeGroupList
        128    9 001A3820 AppCacheFreeIESpace
        129    A 001A38B0 AppCacheFreeSpace
        130    B 0001B050 AppCacheGetDownloadList
        131    C 000874B0 AppCacheGetFallbackUrl
        132    D 00017BA0 AppCacheGetGroupList
        133    E 00017860 AppCacheGetIEGroupList
        134    F 00019040 AppCacheGetInfo
        135   10 000819B0 AppCacheGetManifestUrl
        136   11 000886F0 AppCacheLookup
        137   12 00007720 CommitUrlCacheEntryA
        138   13 00097D90 CommitUrlCacheEntryBinaryBlob
        139   14 000C8230 CommitUrlCacheEntryW
        140   15 00180D10 CreateMD5SSOHash
        141   16 00007900 CreateUrlCacheContainerA
        142   17 00080BC0 CreateUrlCacheContainerW
        143   18 00007300 CreateUrlCacheEntryA
        144   19 000074D0 CreateUrlCacheEntryExW
        145   1A 000074A0 CreateUrlCacheEntryW
        146   1B 001A4C70 CreateUrlCacheGroup
        147   1C 001AD6D0 DeleteIE3Cache
        148   1D 001A4DA0 DeleteUrlCacheContainerA
        149   1E 000160E0 DeleteUrlCacheContainerW
        150   1F 00008210 DeleteUrlCacheEntry
        151   20 00008210 DeleteUrlCacheEntryA
        152   21 00007230 DeleteUrlCacheEntryW
        153   22 001A4EE0 DeleteUrlCacheGroup
        154   23 00169C00 DeleteWpadCacheForNetworks
        155   24 0016A6B0 DetectAutoProxyUrl
        106   25 000CBA10 DispatchAPICall
        156   26 00141DB0 DllCanUnloadNow
        157   27 000CAB80 DllGetClassObject
        158   28 000CBA00 DllInstall
        159   29 00141DE0 DllRegisterServer
        160   2A 00141E20 DllUnregisterServer
        161   2B 0001ED00 FindCloseUrlCache
        162   2C 0001E200 FindFirstUrlCacheContainerA
        163   2D 0001E360 FindFirstUrlCacheContainerW
        164   2E 001A4FE0 FindFirstUrlCacheEntryA
        165   2F 00007C40 FindFirstUrlCacheEntryExA
        166   30 001A5160 FindFirstUrlCacheEntryExW
        167   31 001A5320 FindFirstUrlCacheEntryW
        168   32 001A54A0 FindFirstUrlCacheGroup
        169   33 0001EED0 FindNextUrlCacheContainerA
        170   34 0001E4A0 FindNextUrlCacheContainerW
        171   35 001A55F0 FindNextUrlCacheEntryA
        172   36 00008B90 FindNextUrlCacheEntryExA
        173   37 001A57B0 FindNextUrlCacheEntryExW
        174   38 001A5990 FindNextUrlCacheEntryW
        175   39 001A5B50 FindNextUrlCacheGroup
        176   3A 00180F80 ForceNexusLookup
        177   3B 00180FD0 ForceNexusLookupExW
        178   3C 001A5C80 FreeUrlCacheSpaceA
        179   3D 001A5EE0 FreeUrlCacheSpaceW
        180   3E 001550D0 FtpCommandA
        181   3F 00158EC0 FtpCommandW
        182   40 001553F0 FtpCreateDirectoryA
