Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\winsta.dll

File Type: DLL

  Section contains the following exports for WINSTA.dll

    00000000 characteristics
    D1E21847 time date stamp
        0.00 version
           1 ordinal base
         169 number of functions
         169 number of names

    ordinal hint RVA      name

          2    0 00028560 LogonIdFromWinStationNameA
          3    1 0001A260 LogonIdFromWinStationNameW
          4    2 00028590 RemoteAssistancePrepareSystemRestore
          5    3 000285C0 ServerGetInternetConnectorStatus
          6    4 00027A80 ServerLicensingClose
          7    5 00027AF0 ServerLicensingDeactivateCurrentPolicy
          8    6 00027BA0 ServerLicensingFreePolicyInformation
          9    7 00027BF0 ServerLicensingGetAvailablePolicyIds
         10    8 00027CD0 ServerLicensingGetPolicy
         11    9 00027D90 ServerLicensingGetPolicyInformationA
         12    A 00027E00 ServerLicensingGetPolicyInformationW
         13    B 00027F50 ServerLicensingLoadPolicy
         14    C 00028000 ServerLicensingOpenA
         15    D 00028030 ServerLicensingOpenW
         16    E 00028150 ServerLicensingSetPolicy
         17    F 00028220 ServerLicensingUnloadPolicy
         18   10 000285F0 ServerQueryInetConnectorInformationA
         19   11 00028620 ServerQueryInetConnectorInformationW
         20   12 00028650 ServerSetInternetConnectorStatus
         21   13 0002B0F0 WTSRegisterSessionNotificationEx
         22   14 0002B180 WTSUnRegisterSessionNotificationEx
         23   15 00028680 WinStationActivateLicense
         24   16 000286B0 WinStationAutoReconnect
         25   17 00017F90 WinStationBroadcastSystemMessage
         26   18 000286E0 WinStationCheckAccess
         27   19 00028710 WinStationCheckLoopBack
         28   1A 00013700 WinStationCloseServer
         29   1B 00028740 WinStationConnectA
         30   1C 00014620 WinStationConnectAndLockDesktop
         31   1D 00028770 WinStationConnectCallback
         32   1E 000287A0 WinStationConnectEx
         33   1F 00014750 WinStationConnectW
         34   20 00018A00 WinStationConsumeCacheSession
         35   21 00018260 WinStationCreateChildSessionTransport
         36   22 0000AEA0 WinStationDisconnect
         37   23 000148B0 WinStationEnableChildSessions
         38   24 000149B0 WinStationEnumerateA
         39   25 0001A5D0 WinStationEnumerateExW
         40   26 000287D0 WinStationEnumerateLicenses
         41   27 00014AA0 WinStationEnumerateProcesses
         42   28 00004640 WinStationEnumerateW
         43   29 00028800 WinStationEnumerate_IndexedA
         44   2A 00028830 WinStationEnumerate_IndexedW
         45   2B 00017460 WinStationFreeConsoleNotification
         46   2C 00001480 WinStationFreeEXECENVDATAEX
         47   2D 00014B50 WinStationFreeGAPMemory
         48   2E 00001550 WinStationFreeMemory
         49   2F 00014B90 WinStationFreePropertyValue
         50   30 00014C00 WinStationFreeUserCertificates
         51   31 00018B20 WinStationFreeUserCredentials
         52   32 00001070 WinStationFreeUserSessionInfo
         53   33 00028860 WinStationGenerateLicense
         54   34 00014C40 WinStationGetAllProcesses
         55   35 00002010 WinStationGetAllSessionsEx
         56   36 0001A8B0 WinStationGetAllSessionsW
         57   37 00003400 WinStationGetAllUserSessions
         58   38 00014D90 WinStationGetChildSessionId
         59   39 00001D30 WinStationGetConnectionProperty
         60   3A 00001E40 WinStationGetCurrentSessionCapabilities
         61   3B 00014EA0 WinStationGetCurrentSessionConnectionProperty
         62   3C 000010A0 WinStationGetCurrentSessionTerminalName
         63   3D 00014FB0 WinStationGetDeviceId
         64   3E 00015100 WinStationGetInitialApplication
         65   3F 00028890 WinStationGetLanAdapterNameA
