Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wintrust.dll

File Type: DLL

  Section contains the following exports for WINTRUST.dll

    00000000 characteristics
    D51E499A time date stamp
        0.00 version
           1 ordinal base
         156 number of functions
         156 number of names

    ordinal hint RVA      name

         12    0 0002C5E0 AddPersonalTrustDBPages
         13    1 0000D850 CatalogCompactHashDatabase
          1    2 000202A0 ComputeFirstPageHash
         14    3 0002D1E0 ConfigCiFinalPolicy
         15    4 0002D590 ConfigCiPackageFamilyNameCheck
         16    5 000012A0 CryptCATAdminAcquireContext
         17    6 000227A0 CryptCATAdminAcquireContext2
         18    7 00022880 CryptCATAdminAddCatalog
         19    8 00022B70 CryptCATAdminCalcHashFromFileHandle
         20    9 00022BB0 CryptCATAdminCalcHashFromFileHandle2
         21    A 00009740 CryptCATAdminEnumCatalogFromHash
         22    B 00022C10 CryptCATAdminPauseServiceForBackup
         23    C 00001340 CryptCATAdminReleaseCatalogContext
         24    D 000010F0 CryptCATAdminReleaseContext
         25    E 00022C50 CryptCATAdminRemoveCatalog
         26    F 00022CA0 CryptCATAdminResolveCatalogPath
         27   10 00007AF0 CryptCATAllocSortedMemberInfo
         28   11 00024810 CryptCATCDFClose
         29   12 000248A0 CryptCATCDFEnumAttributes
         30   13 000248C0 CryptCATCDFEnumAttributesWithCDFTag
         31   14 00024900 CryptCATCDFEnumCatAttributes
         32   15 00024AC0 CryptCATCDFEnumMembers
         33   16 00024B20 CryptCATCDFEnumMembersByCDFTag
         34   17 00024B60 CryptCATCDFEnumMembersByCDFTagEx
         35   18 00024BB0 CryptCATCDFOpen
         36   19 00001020 CryptCATCatalogInfoFromContext
         37   1A 00007540 CryptCATClose
         38   1B 000029C0 CryptCATEnumerateAttr
         39   1C 00002A20 CryptCATEnumerateCatAttr
         40   1D 00021B30 CryptCATEnumerateMember
         41   1E 00021C10 CryptCATFreeSortedMemberInfo
         42   1F 00021C50 CryptCATGetAttrInfo
         43   20 00021CF0 CryptCATGetCatAttrInfo
         44   21 00021D80 CryptCATGetMemberInfo
         45   22 00005950 CryptCATHandleFromStore
         46   23 00021E40 CryptCATOpen
         47   24 00021F90 CryptCATPersistStore
         48   25 00021FD0 CryptCATPutAttrInfo
         49   26 000221A0 CryptCATPutCatAttrInfo
         50   27 00022420 CryptCATPutMemberInfo
         51   28 00005950 CryptCATStoreFromHandle
          2   29 00021AF0 CryptCATVerifyMember
         52   2A 00007D80 CryptSIPCreateIndirectData
         53   2B 00007D00 CryptSIPGetCaps
          3   2C 000276B0 CryptSIPGetInfo
          4   2D 000276A0 CryptSIPGetRegWorkingFlags
         54   2E 00027720 CryptSIPGetSealedDigest
         55   2F 000277F0 CryptSIPGetSignedDataMsg
         56   30 000278F0 CryptSIPPutSignedDataMsg
         57   31 000279D0 CryptSIPRemoveSignedDataMsg
         58   32 00027A70 CryptSIPVerifyIndirectData
         59   33 0001AA10 DllRegisterServer
         60   34 0001AA60 DllUnregisterServer
         61   35 00005210 DriverCleanupPolicy
         62   36 00002570 DriverFinalPolicy
         63   37 00005F80 DriverInitializePolicy
         64   38 0002EEE0 FindCertsByIssuer
          5   39 0002B860 GenericChainCertificateTrust
          6   3A 0002BBA0 GenericChainFinalProv
         65   3B 0002D850 GetAuthenticodeSha256Hash
          7   3C 00001D30 HTTPSCertificateTrust
         66   3D 00004360 HTTPSFinalProv
