Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wlanapi.dll

File Type: DLL

  Section contains the following exports for wlanapi.dll

    00000000 characteristics
    DECE339D time date stamp
        0.00 version
           1 ordinal base
         255 number of functions
         255 number of names

    ordinal hint RVA      name

          1    0 00010480 QueryNetconStatus
          2    1 000106E0 QueryNetconVirtualCharacteristic
          3    2 00017C60 WFDAbortSessionInt
          4    3 00017C70 WFDAcceptConnectRequestAndOpenSessionInt
          5    4 00017C80 WFDAcceptGroupRequestAndOpenSessionInt
          6    5 00018120 WFDCancelConnectorPairWithOOB
          7    6 00010800 WFDCancelListenerPairWithOOB
          8    7 0000EDD0 WFDCancelOpenSession
          9    8 0000EDD0 WFDCancelOpenSessionInt
         10    9 0000EDE0 WFDCloseHandle
         11    A 0000EDE0 WFDCloseHandleInt
         12    B 00017CF0 WFDCloseLegacySessionInt
         13    C 00010AB0 WFDCloseOOBPairingSession
         14    D 0000EDF0 WFDCloseSession
         15    E 0000EDF0 WFDCloseSessionInt
         16    F 00017D00 WFDConfigureFirewallForSessionInt
         17   10 00017D10 WFDCreateDHPrivatePublicKeyPairInt
         18   11 00017D30 WFDDeclineConnectRequestInt
         19   12 00017D40 WFDDeclineGroupRequestInt
         20   13 00017D50 WFDDiscoverDeviceServiceInformationInt
         21   14 00017D60 WFDDiscoverDevicesExInt
         22   15 00017D70 WFDDiscoverDevicesInt
         23   16 00017D80 WFDFlushVisibleDeviceListInt
         24   17 00017D90 WFDForceDisconnectInt
         25   18 00017DA0 WFDForceDisconnectLegacyPeerInt
         26   19 000078E0 WFDFreeMemoryInt
         27   1A 00017DB0 WFDGetDefaultGroupProfileInt
         28   1B 00017DC0 WFDGetDeviceDescriptorForPendingRequestInt
         29   1C 00017DD0 WFDGetNFCCarrierConfigBlobInt
         30   1D 00010CE0 WFDGetOOBBlob
         31   1E 00017DE0 WFDGetPrimaryAdapterStateInt
         32   1F 00017DF0 WFDGetProfileKeyInfoInt
         33   20 00017E00 WFDGetSessionEndpointPairsInt
         34   21 00017E10 WFDGetVisibleDevicesExInt
         35   22 00017E20 WFDGetVisibleDevicesInt
         36   23 00011010 WFDIsInterfaceWiFiDirect
         37   24 00011150 WFDIsWiFiDirectRunningOnWiFiAdapter
         38   25 00018AC0 WFDLowPrivCancelOpenSessionInt
         39   26 00018AD0 WFDLowPrivCloseHandleInt
         40   27 00018AE0 WFDLowPrivCloseLegacySessionInt
         41   28 00018AF0 WFDLowPrivCloseSessionInt
         42   29 00018B00 WFDLowPrivConfigureFirewallForSessionInt
         43   2A 00018B10 WFDLowPrivDeclineDeviceApiConnectionRequestInt
         44   2B 00018B20 WFDLowPrivGetPendingGroupRequestDetailsInt
         45   2C 00018B30 WFDLowPrivGetSessionEndpointPairsInt
         46   2D 00018B40 WFDLowPrivIsWfdSupportedInt
         47   2E 00018B50 WFDLowPrivOpenHandleInt
         48   2F 00018B60 WFDLowPrivOpenLegacySessionInt
         49   30 00018B70 WFDLowPrivOpenSessionByDafObjectIdInt
         50   31 00018BE0 WFDLowPrivQueryPropertyInt
         51   32 00018BF0 WFDLowPrivRegisterNotificationInt
         52   33 00018C30 WFDLowPrivRegisterVMgrCallerInt
         53   34 00018C40 WFDLowPrivSetPropertyInt
         54   35 00018C50 WFDLowPrivStartDeviceApiConnectionRequestListenerInt
