Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ws2_32.dll

File Type: DLL

  Section contains the following exports for WS2_32.dll

    00000000 characteristics
    4EE4FBBF time date stamp
        0.00 version
           1 ordinal base
         500 number of functions
         195 number of names

    ordinal hint RVA      name

         25    0 00012D60 FreeAddrInfoEx
         26    1 00012D60 FreeAddrInfoExW
         27    2 000024B0 FreeAddrInfoW
         28    3 000250B0 GetAddrInfoExA
         29    4 000252B0 GetAddrInfoExCancel
         30    5 00002CD0 GetAddrInfoExOverlappedResult
         31    6 00004750 GetAddrInfoExW
         32    7 00003730 GetAddrInfoW
         33    8 000281F0 GetHostNameW
         34    9 000153C0 GetNameInfoW
         35    A 00012B60 InetNtopW
         36    B 00023D60 InetPtonW
         37    C 000253B0 SetAddrInfoExA
         38    D 00025530 SetAddrInfoExW
        500    E 00013820 WEP
         39    F 00034170 WPUCompleteOverlappedRequest
         40   10 00013AB0 WPUGetProviderPathEx
         41   11 00014700 WSAAccept
         42   12 00001610 WSAAddressToStringA
         43   13 00001BB0 WSAAddressToStringW
         44   14 00036E30 WSAAdvertiseProvider
        102   15 000283E0 WSAAsyncGetHostByAddr
        103   16 00028510 WSAAsyncGetHostByName
        105   17 00028670 WSAAsyncGetProtoByName
        104   18 000287D0 WSAAsyncGetProtoByNumber
        107   19 000288C0 WSAAsyncGetServByName
        106   1A 00028A20 WSAAsyncGetServByPort
        101   1B 00001320 WSAAsyncSelect
        108   1C 00028B20 WSACancelAsyncRequest
        113   1D 00026BA0 WSACancelBlockingCall
        116   1E 0000F900 WSACleanup
         45   1F 00013230 WSACloseEvent
         46   20 00032800 WSAConnect
         47   21 00032970 WSAConnectByList
         48   22 00033190 WSAConnectByNameA
         49   23 000333A0 WSAConnectByNameW
         50   24 00013380 WSACreateEvent
         58   25 000273F0 WSADuplicateSocketA
         59   26 00027480 WSADuplicateSocketW
         60   27 0002ECE0 WSAEnumNameSpaceProvidersA
         61   28 0002ED80 WSAEnumNameSpaceProvidersExA
         62   29 0002EE20 WSAEnumNameSpaceProvidersExW
         63   2A 0000EA20 WSAEnumNameSpaceProvidersW
         64   2B 00011370 WSAEnumNetworkEvents
         65   2C 0003B380 WSAEnumProtocolsA
         66   2D 00015530 WSAEnumProtocolsW
         67   2E 00011440 WSAEventSelect
        111   2F 00012B20 WSAGetLastError
         68   30 000102A0 WSAGetOverlappedResult
         69   31 0002D880 WSAGetQOSByName
         70   32 0002EEB0 WSAGetServiceClassInfoA
         71   33 0002EFD0 WSAGetServiceClassInfoW
         72   34 0002F140 WSAGetServiceClassNameByClassIdA
         73   35 0002F450 WSAGetServiceClassNameByClassIdW
         74   36 00023E00 WSAHtonl
         75   37 00023F50 WSAHtons
         76   38 0002F730 WSAInstallServiceClassA
         77   39 0002F800 WSAInstallServiceClassW
         78   3A 00005B30 WSAIoctl
        114   3B 00026C30 WSAIsBlocking
         79   3C 00033ED0 WSAJoinLeaf
         80   3D 0002F950 WSALookupServiceBeginA
         81   3E 00007940 WSALookupServiceBeginW
         82   3F 00009ED0 WSALookupServiceEnd
         83   40 0002FA70 WSALookupServiceNextA
         84   41 00008F80 WSALookupServiceNextW
         85   42 0002FCD0 WSANSPIoctl
         86   43 000240B0 WSANtohl
         87   44 00024200 WSANtohs
         88   45 00030A40 WSAPoll
         89   46 00036FE0 WSAProviderCompleteAsyncCall
